scenario,layout,formulation,aptamer_count,active_aptamers,single_capture,best_zones,target_capture,false_capture_risk,damage_risk,useful_capture
35,hybrid_24,mixed_spacer_antifouling,24,23,0.27778,11,0.96607,0.23372,0.03901,0.84152
36,hybrid_24,mixed_spacer_antifouling,24,21,0.22222,14,0.96385,0.22636,0.03022,0.84572
1,broad_grid_20,mixed_spacer_antifouling,20,19,0.33333,9,0.97118,0.18084,0.02213,0.87652
2,broad_grid_20,mixed_spacer_antifouling,20,19,0.16667,16,0.93463,0.23496,0.03052,0.81602
3,broad_grid_20,mixed_spacer_antifouling,20,18,0.00000,1,0.00000,0.00686,0.00369,0.00000
4,broad_grid_20,mixed_spacer_antifouling,20,15,0.11111,16,0.84138,0.25053,0.05082,0.72290
5,broad_grid_20,mixed_spacer_antifouling,20,20,0.22222,16,0.97199,0.12450,0.04627,0.89672
6,broad_grid_20,mixed_spacer_antifouling,20,20,0.22222,14,0.95305,0.25513,0.03506,0.82127
7,broad_grid_20,mixed_spacer_antifouling,20,20,0.27778,12,0.97347,0.15638,0.00871,0.89462
8,broad_grid_20,mixed_spacer_antifouling,20,8,0.11111,16,0.82228,0.28968,0.02019,0.69821
9,broad_grid_20,mixed_spacer_antifouling,20,15,0.27778,12,0.96846,0.17099,0.01292,0.88165
10,broad_grid_20,mixed_spacer_antifouling,20,18,0.50000,8,0.99392,0.06340,0.00908,0.95936
11,broad_grid_20,mixed_spacer_antifouling,20,19,0.27778,11,0.96773,0.17379,0.04023,0.87120
12,broad_grid_20,mixed_spacer_antifouling,20,13,0.33333,10,0.97490,0.14710,0.04034,0.89044
13,broad_grid_20,mixed_spacer_antifouling,20,11,0.38889,8,0.97770,0.16445,0.02786,0.88855
14,broad_grid_20,mixed_spacer_antifouling,20,10,0.05556,16,0.55987,0.11170,0.05764,0.51794
15,broad_grid_20,mixed_spacer_antifouling,20,17,0.27778,13,0.97846,0.15930,0.02904,0.89138
16,broad_grid_20,mixed_spacer_antifouling,20,20,0.22222,14,0.96543,0.20270,0.04207,0.85481
17,broad_grid_20,mixed_spacer_antifouling,20,20,0.22222,14,0.95998,0.22349,0.01952,0.84688
18,broad_grid_20,mixed_spacer_antifouling,20,18,0.22222,16,0.97145,0.08849,0.05310,0.91121
19,broad_grid_20,mixed_spacer_antifouling,20,20,0.27778,11,0.96053,0.20570,0.01474,0.85730
20,broad_grid_20,mixed_spacer_antifouling,20,16,0.38889,11,0.99420,0.04384,0.00750,0.96986
21,broad_grid_20,mixed_spacer_antifouling,20,17,0.38889,9,0.98328,0.10106,0.01459,0.92883
22,broad_grid_20,mixed_spacer_antifouling,20,20,0.16667,16,0.93665,0.23783,0.03091,0.81634
23,broad_grid_20,mixed_spacer_antifouling,20,14,0.33333,12,0.99080,0.07734,0.02743,0.94334
24,broad_grid_20,mixed_spacer_antifouling,20,10,0.22222,15,0.97372,0.16999,0.03218,0.88092
25,broad_grid_20,mixed_spacer_antifouling,20,17,0.16667,16,0.93657,0.31131,0.05682,0.77506
26,broad_grid_20,mixed_spacer_antifouling,20,16,0.38889,11,0.99432,0.03804,0.02166,0.96802
27,broad_grid_20,mixed_spacer_antifouling,20,19,0.22222,14,0.95537,0.23418,0.01811,0.83816
28,broad_grid_20,mixed_spacer_antifouling,20,19,0.11111,16,0.82635,0.27212,0.02240,0.70832
29,broad_grid_20,mixed_spacer_antifouling,20,18,0.11111,16,0.81750,0.30489,0.05167,0.68035
30,broad_grid_20,mixed_spacer_antifouling,20,20,0.50000,6,0.98055,0.10378,0.02819,0.92050
31,broad_grid_20,mixed_spacer_antifouling,20,14,0.05556,16,0.55485,0.09012,0.01562,0.52695
32,broad_grid_20,mixed_spacer_antifouling,20,16,0.11111,16,0.80694,0.17768,0.04580,0.72346
33,broad_grid_20,mixed_spacer_antifouling,20,20,0.11111,16,0.83409,0.23182,0.02573,0.73078
34,broad_grid_20,mixed_spacer_antifouling,20,17,0.22222,16,0.97094,0.08950,0.03771,0.91525
35,broad_grid_20,mixed_spacer_antifouling,20,20,0.16667,16,0.93261,0.27532,0.05257,0.78943
36,broad_grid_20,mixed_spacer_antifouling,20,19,0.16667,16,0.93508,0.21656,0.03371,0.82399
1,broad_grid_24,mixed_spacer_antifouling,24,24,0.38889,8,0.97847,0.19204,0.02031,0.87822
2,broad_grid_24,mixed_spacer_antifouling,24,17,0.11111,16,0.82894,0.27525,0.03052,0.70722
3,broad_grid_24,mixed_spacer_antifouling,24,22,0.16667,16,0.93436,0.12384,0.01741,0.87116
4,broad_grid_24,mixed_spacer_antifouling,24,21,0.27778,11,0.97036,0.21207,0.03770,0.85602
5,broad_grid_24,mixed_spacer_antifouling,24,24,0.22222,16,0.97199,0.14759,0.04627,0.88569
6,broad_grid_24,mixed_spacer_antifouling,24,24,0.22222,13,0.94330,0.28029,0.03303,0.80172
7,broad_grid_24,mixed_spacer_antifouling,24,19,0.27778,12,0.97347,0.18483,0.00871,0.88082
8,broad_grid_24,mixed_spacer_antifouling,24,18,0.22222,13,0.95181,0.28409,0.01703,0.81174
9,broad_grid_24,mixed_spacer_antifouling,24,19,0.27778,12,0.96846,0.20178,0.01292,0.86681
10,broad_grid_24,mixed_spacer_antifouling,24,22,0.33333,12,0.98710,0.11130,0.01236,0.92814
11,broad_grid_24,mixed_spacer_antifouling,24,24,0.22222,13,0.95557,0.23755,0.04584,0.82856
12,broad_grid_24,mixed_spacer_antifouling,24,17,0.33333,10,0.97490,0.17407,0.04034,0.87749
13,broad_grid_24,mixed_spacer_antifouling,24,19,0.38889,8,0.97770,0.19434,0.02786,0.87408
14,broad_grid_24,mixed_spacer_antifouling,24,15,0.11111,16,0.81474,0.13259,0.05764,0.74538
15,broad_grid_24,mixed_spacer_antifouling,24,21,0.16667,16,0.92610,0.22633,0.03439,0.81141
16,broad_grid_24,mixed_spacer_antifouling,24,24,0.22222,13,0.95651,0.22339,0.03964,0.83788
17,broad_grid_24,mixed_spacer_antifouling,24,23,0.22222,14,0.95998,0.26221,0.01952,0.82843
18,broad_grid_24,mixed_spacer_antifouling,24,24,0.38889,10,0.98920,0.06717,0.03664,0.94372
19,broad_grid_24,mixed_spacer_antifouling,24,24,0.33333,9,0.96494,0.20275,0.01265,0.86328
20,broad_grid_24,mixed_spacer_antifouling,24,16,0.27778,16,0.99224,0.07530,0.01016,0.95148
21,broad_grid_24,mixed_spacer_antifouling,24,18,0.44444,8,0.98733,0.10755,0.01338,0.92986
22,broad_grid_24,mixed_spacer_antifouling,24,24,0.27778,11,0.96790,0.20104,0.02287,0.86364
23,broad_grid_24,mixed_spacer_antifouling,24,21,0.22222,16,0.97845,0.12092,0.03462,0.90816
24,broad_grid_24,mixed_spacer_antifouling,24,19,0.16667,16,0.93995,0.21242,0.03394,0.83014
25,broad_grid_24,mixed_spacer_antifouling,24,23,0.16667,15,0.92536,0.34333,0.05391,0.75205
26,broad_grid_24,mixed_spacer_antifouling,24,21,0.44444,9,0.99382,0.03737,0.01859,0.96890
27,broad_grid_24,mixed_spacer_antifouling,24,24,0.33333,9,0.96522,0.18634,0.01282,0.87137
28,broad_grid_24,mixed_spacer_antifouling,24,21,0.16667,16,0.93305,0.31745,0.02240,0.77880
29,broad_grid_24,mixed_spacer_antifouling,24,21,0.16667,16,0.92755,0.35431,0.05167,0.74943
30,broad_grid_24,mixed_spacer_antifouling,24,23,0.38889,8,0.97481,0.16107,0.03435,0.88553
31,broad_grid_24,mixed_spacer_antifouling,24,17,0.16667,16,0.92295,0.10721,0.01562,0.86870
32,broad_grid_24,mixed_spacer_antifouling,24,16,0.05556,16,0.55116,0.20946,0.04580,0.48553
33,broad_grid_24,mixed_spacer_antifouling,24,24,0.16667,16,0.93774,0.27167,0.02573,0.80306
34,broad_grid_24,mixed_spacer_antifouling,24,19,0.50000,8,0.99415,0.05473,0.02201,0.95949
35,broad_grid_24,mixed_spacer_antifouling,24,23,0.27778,11,0.96607,0.23372,0.03901,0.84152
36,broad_grid_24,mixed_spacer_antifouling,24,21,0.11111,16,0.82968,0.25422,0.03371,0.71568
1,triple_ring_24,mixed_spacer_antifouling,24,24,0.50000,6,0.98297,0.14780,0.01665,0.90503
2,triple_ring_24,mixed_spacer_antifouling,24,20,0.16667,16,0.93463,0.27525,0.03052,0.79739
3,triple_ring_24,mixed_spacer_antifouling,24,23,0.22222,16,0.97637,0.12384,0.01741,0.91034
4,triple_ring_24,mixed_spacer_antifouling,24,20,0.38889,8,0.97952,0.15915,0.02974,0.89218
5,triple_ring_24,mixed_spacer_antifouling,24,24,0.27778,13,0.97842,0.12168,0.03911,0.90631
6,triple_ring_24,mixed_spacer_antifouling,24,24,0.27778,11,0.95920,0.24294,0.02897,0.83415
7,triple_ring_24,mixed_spacer_antifouling,24,18,0.33333,10,0.97783,0.15659,0.00755,0.89889
8,triple_ring_24,mixed_spacer_antifouling,24,13,0.33333,9,0.96849,0.20656,0.01280,0.86458
9,triple_ring_24,mixed_spacer_antifouling,24,19,0.27778,12,0.96846,0.20178,0.01292,0.86681
10,triple_ring_24,mixed_spacer_antifouling,24,20,0.38889,10,0.98860,0.09365,0.01072,0.93877
11,triple_ring_24,mixed_spacer_antifouling,24,24,0.22222,13,0.95557,0.23755,0.04584,0.82856
12,triple_ring_24,mixed_spacer_antifouling,24,12,0.16667,16,0.92054,0.26361,0.05840,0.78287
13,triple_ring_24,mixed_spacer_antifouling,24,17,0.27778,10,0.95591,0.23671,0.03285,0.83309
14,triple_ring_24,mixed_spacer_antifouling,24,16,0.16667,16,0.92581,0.13259,0.05764,0.84699
15,triple_ring_24,mixed_spacer_antifouling,24,23,0.05556,16,0.56040,0.22633,0.03439,0.49100
16,triple_ring_24,mixed_spacer_antifouling,24,24,0.11111,16,0.83403,0.26741,0.04690,0.71066
17,triple_ring_24,mixed_spacer_antifouling,24,23,0.27778,11,0.96431,0.21253,0.01610,0.85698
18,triple_ring_24,mixed_spacer_antifouling,24,24,0.22222,16,0.97145,0.10529,0.05310,0.90320
19,triple_ring_24,mixed_spacer_antifouling,24,24,0.27778,11,0.96053,0.24190,0.01474,0.84000
20,triple_ring_24,mixed_spacer_antifouling,24,16,0.38889,11,0.99420,0.05240,0.00750,0.96561
21,triple_ring_24,mixed_spacer_antifouling,24,20,0.38889,9,0.98328,0.12015,0.01459,0.91950
22,triple_ring_24,mixed_spacer_antifouling,24,23,0.27778,11,0.96790,0.20104,0.02287,0.86364
23,triple_ring_24,mixed_spacer_antifouling,24,20,0.11111,16,0.83535,0.12092,0.03462,0.77533
24,triple_ring_24,mixed_spacer_antifouling,24,17,0.27778,12,0.97749,0.16397,0.02689,0.88891
25,triple_ring_24,mixed_spacer_antifouling,24,24,0.22222,12,0.94440,0.28570,0.04514,0.79670
26,triple_ring_24,mixed_spacer_antifouling,24,20,0.61111,6,0.99591,0.02507,0.01398,0.97862
27,triple_ring_24,mixed_spacer_antifouling,24,24,0.22222,14,0.95537,0.27442,0.01811,0.81906
28,triple_ring_24,mixed_spacer_antifouling,24,22,0.27778,11,0.96626,0.23092,0.01655,0.84975
29,triple_ring_24,mixed_spacer_antifouling,24,19,0.16667,16,0.92755,0.35431,0.05167,0.74943
30,triple_ring_24,mixed_spacer_antifouling,24,24,0.44444,7,0.97914,0.14245,0.03128,0.89945
31,triple_ring_24,mixed_spacer_antifouling,24,20,0.22222,16,0.97036,0.10721,0.01562,0.91332
32,triple_ring_24,mixed_spacer_antifouling,24,14,0.16667,16,0.92080,0.20946,0.04580,0.81115
33,triple_ring_24,mixed_spacer_antifouling,24,23,0.16667,16,0.93774,0.27167,0.02573,0.80306
34,triple_ring_24,mixed_spacer_antifouling,24,19,0.22222,16,0.97094,0.10647,0.03771,0.90712
35,triple_ring_24,mixed_spacer_antifouling,24,24,0.33333,9,0.96923,0.19572,0.03353,0.86412
36,triple_ring_24,mixed_spacer_antifouling,24,24,0.16667,16,0.93508,0.25422,0.03371,0.80659
1,sunflower_20,mixed_spacer_antifouling,20,19,0.44444,7,0.98202,0.14371,0.01848,0.90556
2,sunflower_20,mixed_spacer_antifouling,20,19,0.44444,7,0.98130,0.11057,0.01618,0.92180
3,sunflower_20,mixed_spacer_antifouling,20,19,0.16667,16,0.93436,0.10425,0.01741,0.88026
4,sunflower_20,mixed_spacer_antifouling,20,11,0.22222,14,0.96804,0.22302,0.04559,0.84637
5,sunflower_20,mixed_spacer_antifouling,20,20,0.11111,16,0.81501,0.12450,0.04627,0.75190
6,sunflower_20,mixed_spacer_antifouling,20,19,0.22222,14,0.95305,0.25513,0.03506,0.82127
7,sunflower_20,mixed_spacer_antifouling,20,17,0.27778,12,0.97347,0.15638,0.00871,0.89462
8,sunflower_20,mixed_spacer_antifouling,20,14,0.33333,9,0.96849,0.17502,0.01280,0.87978
9,sunflower_20,mixed_spacer_antifouling,20,17,0.11111,16,0.80252,0.22122,0.01634,0.70967
10,sunflower_20,mixed_spacer_antifouling,20,18,0.50000,8,0.99392,0.06340,0.00908,0.95936
11,sunflower_20,mixed_spacer_antifouling,20,20,0.11111,16,0.83165,0.24246,0.05420,0.71696
12,sunflower_20,mixed_spacer_antifouling,20,13,0.27778,12,0.96956,0.17382,0.04640,0.87092
13,sunflower_20,mixed_spacer_antifouling,20,17,0.27778,11,0.96723,0.21890,0.03533,0.85071
14,sunflower_20,mixed_spacer_antifouling,20,13,0.11111,16,0.81474,0.11170,0.05764,0.75372
15,sunflower_20,mixed_spacer_antifouling,20,16,0.16667,16,0.92610,0.19229,0.03439,0.82698
16,sunflower_20,mixed_spacer_antifouling,20,20,0.22222,14,0.96543,0.20270,0.04207,0.85481
17,sunflower_20,mixed_spacer_antifouling,20,18,0.27778,12,0.97296,0.19492,0.01724,0.87284
18,sunflower_20,mixed_spacer_antifouling,20,20,0.22222,16,0.97145,0.08849,0.05310,0.91121
19,sunflower_20,mixed_spacer_antifouling,20,20,0.33333,10,0.97489,0.18890,0.01370,0.87858
20,sunflower_20,mixed_spacer_antifouling,20,10,0.38889,11,0.99420,0.04384,0.00750,0.96986
21,sunflower_20,mixed_spacer_antifouling,20,12,0.33333,11,0.98266,0.12210,0.01700,0.91718
22,sunflower_20,mixed_spacer_antifouling,20,20,0.27778,12,0.97617,0.18428,0.02449,0.87863
23,sunflower_20,mixed_spacer_antifouling,20,18,0.22222,16,0.97845,0.10177,0.03462,0.91741
24,sunflower_20,mixed_spacer_antifouling,20,13,0.27778,12,0.97749,0.13848,0.02689,0.90125
25,sunflower_20,mixed_spacer_antifouling,20,18,0.05556,16,0.57998,0.31131,0.05682,0.47997
26,sunflower_20,mixed_spacer_antifouling,20,19,0.50000,8,0.99524,0.02781,0.01706,0.97554
27,sunflower_20,mixed_spacer_antifouling,20,20,0.27778,12,0.96988,0.20442,0.01599,0.86587
28,sunflower_20,mixed_spacer_antifouling,20,16,0.22222,14,0.96261,0.24264,0.02006,0.83988
29,sunflower_20,mixed_spacer_antifouling,20,19,0.22222,13,0.94985,0.25584,0.04370,0.81568
30,sunflower_20,mixed_spacer_antifouling,20,20,0.33333,10,0.97604,0.16691,0.04047,0.88192
31,sunflower_20,mixed_spacer_antifouling,20,15,0.11111,16,0.81026,0.09012,0.01562,0.76952
32,sunflower_20,mixed_spacer_antifouling,20,16,0.05556,16,0.55116,0.17768,0.04580,0.49415
33,sunflower_20,mixed_spacer_antifouling,20,20,0.16667,16,0.93774,0.23182,0.02573,0.82158
34,sunflower_20,mixed_spacer_antifouling,20,16,0.44444,9,0.99237,0.05137,0.02398,0.95876
35,sunflower_20,mixed_spacer_antifouling,20,20,0.44444,7,0.98088,0.13141,0.02802,0.90745
36,sunflower_20,mixed_spacer_antifouling,20,20,0.22222,15,0.97103,0.20452,0.03197,0.86198
1,sunflower_24,mixed_spacer_antifouling,24,24,0.50000,6,0.98297,0.14780,0.01665,0.90503
2,sunflower_24,mixed_spacer_antifouling,24,21,0.33333,9,0.96995,0.16564,0.01939,0.88358
3,sunflower_24,mixed_spacer_antifouling,24,21,0.16667,16,0.93436,0.12384,0.01741,0.87116
4,sunflower_24,mixed_spacer_antifouling,24,18,0.11111,16,0.84138,0.29298,0.05082,0.70536
5,sunflower_24,mixed_spacer_antifouling,24,23,0.33333,11,0.98336,0.10397,0.03430,0.92104
6,sunflower_24,mixed_spacer_antifouling,24,24,0.16667,16,0.91760,0.33290,0.03911,0.75440
7,sunflower_24,mixed_spacer_antifouling,24,24,0.33333,10,0.97783,0.15659,0.00755,0.89889
8,sunflower_24,mixed_spacer_antifouling,24,13,0.22222,13,0.95181,0.28409,0.01703,0.81174
9,sunflower_24,mixed_spacer_antifouling,24,20,0.11111,16,0.80252,0.25955,0.01634,0.69438
10,sunflower_24,mixed_spacer_antifouling,24,22,0.50000,7,0.98908,0.06652,0.00826,0.95342
11,sunflower_24,mixed_spacer_antifouling,24,24,0.33333,9,0.97053,0.17119,0.03458,0.87672
12,sunflower_24,mixed_spacer_antifouling,24,16,0.16667,16,0.92054,0.26361,0.05840,0.78287
13,sunflower_24,mixed_spacer_antifouling,24,18,0.27778,10,0.95591,0.23671,0.03285,0.83309
14,sunflower_24,mixed_spacer_antifouling,24,19,0.05556,16,0.55987,0.13259,0.05764,0.51221
15,sunflower_24,mixed_spacer_antifouling,24,19,0.16667,16,0.92610,0.22633,0.03439,0.81141
16,sunflower_24,mixed_spacer_antifouling,24,24,0.22222,13,0.95651,0.22339,0.03964,0.83788
17,sunflower_24,mixed_spacer_antifouling,24,23,0.27778,11,0.96431,0.21253,0.01610,0.85698
18,sunflower_24,mixed_spacer_antifouling,24,20,0.33333,12,0.98787,0.08005,0.04216,0.93434
19,sunflower_24,mixed_spacer_antifouling,24,24,0.27778,11,0.96053,0.24190,0.01474,0.84000
20,sunflower_24,mixed_spacer_antifouling,24,15,0.27778,16,0.99224,0.07530,0.01016,0.95148
21,sunflower_24,mixed_spacer_antifouling,24,20,0.33333,11,0.98266,0.14482,0.01700,0.90608
22,sunflower_24,mixed_spacer_antifouling,24,24,0.16667,16,0.93665,0.27853,0.03091,0.79748
23,sunflower_24,mixed_spacer_antifouling,24,21,0.38889,10,0.99152,0.07739,0.02382,0.94521
24,sunflower_24,mixed_spacer_antifouling,24,22,0.38889,9,0.98686,0.12569,0.02157,0.91786
25,sunflower_24,mixed_spacer_antifouling,24,22,0.16667,15,0.92536,0.34333,0.05391,0.75205
26,sunflower_24,mixed_spacer_antifouling,24,20,0.38889,11,0.99432,0.04549,0.02166,0.96434
27,sunflower_24,mixed_spacer_antifouling,24,24,0.44444,7,0.97855,0.14819,0.01069,0.90265
28,sunflower_24,mixed_spacer_antifouling,24,19,0.11111,16,0.82635,0.31745,0.02240,0.68974
29,sunflower_24,mixed_spacer_antifouling,24,22,0.22222,13,0.94985,0.29912,0.04370,0.79544
30,sunflower_24,mixed_spacer_antifouling,24,24,0.44444,7,0.97914,0.14245,0.03128,0.89945
31,sunflower_24,mixed_spacer_antifouling,24,14,0.05556,16,0.55485,0.10721,0.01562,0.52224
32,sunflower_24,mixed_spacer_antifouling,24,16,0.11111,16,0.80694,0.20946,0.04580,0.71085
33,sunflower_24,mixed_spacer_antifouling,24,23,0.22222,14,0.96546,0.24223,0.02305,0.84168
34,sunflower_24,mixed_spacer_antifouling,24,20,0.44444,9,0.99237,0.06136,0.02398,0.95384
35,sunflower_24,mixed_spacer_antifouling,24,24,0.33333,9,0.96923,0.19572,0.03353,0.86412
36,sunflower_24,mixed_spacer_antifouling,24,22,0.22222,14,0.96385,0.22636,0.03022,0.84572
1,four_patch_24,mixed_spacer_antifouling,24,24,0.44444,7,0.98202,0.17022,0.01848,0.89263
2,four_patch_24,mixed_spacer_antifouling,24,18,0.22222,14,0.96357,0.24549,0.02735,0.83721
3,four_patch_24,mixed_spacer_antifouling,24,23,0.27778,14,0.98607,0.10924,0.01559,0.92712
4,four_patch_24,mixed_spacer_antifouling,24,16,0.27778,11,0.97036,0.21207,0.03770,0.85602
5,four_patch_24,mixed_spacer_antifouling,24,22,0.11111,16,0.81501,0.14759,0.04627,0.74264
6,four_patch_24,mixed_spacer_antifouling,24,24,0.27778,11,0.95920,0.24294,0.02897,0.83415
7,four_patch_24,mixed_spacer_antifouling,24,20,0.27778,12,0.97347,0.18483,0.00871,0.88082
8,four_patch_24,mixed_spacer_antifouling,24,9,0.16667,16,0.93054,0.33723,0.02019,0.76817
9,four_patch_24,mixed_spacer_antifouling,24,18,0.22222,14,0.95325,0.23121,0.01463,0.83873
10,four_patch_24,mixed_spacer_antifouling,24,23,0.27778,14,0.98194,0.12861,0.01400,0.91430
11,four_patch_24,mixed_spacer_antifouling,24,24,0.22222,13,0.95557,0.23755,0.04584,0.82856
12,four_patch_24,mixed_spacer_antifouling,24,20,0.22222,14,0.95489,0.23490,0.05242,0.82728
13,four_patch_24,mixed_spacer_antifouling,24,18,0.16667,16,0.93516,0.35091,0.04764,0.75822
14,four_patch_24,mixed_spacer_antifouling,24,13,0.00000,1,0.00000,0.00885,0.01242,0.00000
15,four_patch_24,mixed_spacer_antifouling,24,19,0.11111,16,0.81521,0.22633,0.03439,0.71425
16,four_patch_24,mixed_spacer_antifouling,24,24,0.16667,16,0.93770,0.26741,0.04690,0.79899
17,four_patch_24,mixed_spacer_antifouling,24,23,0.22222,14,0.95998,0.26221,0.01952,0.82843
18,four_patch_24,mixed_spacer_antifouling,24,21,0.27778,14,0.98306,0.09276,0.04764,0.92184
19,four_patch_24,mixed_spacer_antifouling,24,23,0.05556,16,0.55065,0.33157,0.01995,0.45616
20,four_patch_24,mixed_spacer_antifouling,24,19,0.27778,16,0.99224,0.07530,0.01016,0.95148
21,four_patch_24,mixed_spacer_antifouling,24,18,0.27778,12,0.97073,0.15690,0.01820,0.88888
22,four_patch_24,mixed_spacer_antifouling,24,24,0.16667,16,0.93665,0.27853,0.03091,0.79748
23,four_patch_24,mixed_spacer_antifouling,24,22,0.22222,16,0.97845,0.12092,0.03462,0.90816
24,four_patch_24,mixed_spacer_antifouling,24,13,0.38889,9,0.98686,0.12569,0.02157,0.91786
25,four_patch_24,mixed_spacer_antifouling,24,21,0.22222,12,0.94440,0.28570,0.04514,0.79670
26,four_patch_24,mixed_spacer_antifouling,24,21,0.27778,15,0.98994,0.06151,0.02776,0.95017
27,four_patch_24,mixed_spacer_antifouling,24,24,0.16667,16,0.92131,0.30692,0.02022,0.77441
28,four_patch_24,mixed_spacer_antifouling,24,21,0.11111,16,0.82635,0.31745,0.02240,0.68974
29,four_patch_24,mixed_spacer_antifouling,24,23,0.16667,16,0.92755,0.35431,0.05167,0.74943
30,four_patch_24,mixed_spacer_antifouling,24,24,0.44444,7,0.97914,0.14245,0.03128,0.89945
31,four_patch_24,mixed_spacer_antifouling,24,18,0.22222,16,0.97036,0.10721,0.01562,0.91332
32,four_patch_24,mixed_spacer_antifouling,24,16,0.11111,16,0.80694,0.20946,0.04580,0.71085
33,four_patch_24,mixed_spacer_antifouling,24,23,0.05556,16,0.58228,0.27167,0.02573,0.49866
34,four_patch_24,mixed_spacer_antifouling,24,18,0.38889,10,0.98903,0.06794,0.02596,0.94675
35,four_patch_24,mixed_spacer_antifouling,24,24,0.27778,11,0.96607,0.23372,0.03901,0.84152
36,four_patch_24,mixed_spacer_antifouling,24,23,0.22222,14,0.96385,0.22636,0.03022,0.84572
