layout,aptamer_count,linker_construct,ev_diameter_nm,receptor_count,mean_contacts,max_contacts,p_at_least_1_contact,p_at_least_2_contacts,p_at_least_3_contacts,p_at_least_6_contacts,legacy_capture_score,clinical_sparse_score
clinical_dense_24,24,polyT10,73,2,0.011,1,0.0108,0.0000,0.0000,0.0000,0.0003,0.0047
clinical_dense_24,24,polyT10,73,5,0.069,1,0.0689,0.0000,0.0000,0.0000,0.0017,0.0298
clinical_dense_24,24,polyT10,73,10,0.100,2,0.0963,0.0038,0.0000,0.0000,0.0025,0.0430
clinical_dense_24,24,polyT15,73,2,0.043,2,0.0408,0.0026,0.0000,0.0000,0.0011,0.0185
clinical_dense_24,24,polyT15,73,5,0.122,2,0.1110,0.0108,0.0000,0.0000,0.0030,0.0517
clinical_dense_24,24,polyT15,73,10,0.184,3,0.1645,0.0185,0.0013,0.0000,0.0052,0.0778
clinical_dense_24,24,polyT20,73,2,0.089,2,0.0886,0.0000,0.0000,0.0000,0.0022,0.0384
clinical_dense_24,24,polyT20,73,5,0.159,2,0.1575,0.0019,0.0000,0.0000,0.0040,0.0689
clinical_dense_24,24,polyT20,73,10,0.342,3,0.2653,0.0676,0.0089,0.0000,0.0126,0.1396
clinical_dense_24,24,polyT30,73,2,0.121,2,0.1199,0.0006,0.0000,0.0000,0.0030,0.0522
clinical_dense_24,24,polyT30,73,5,0.362,3,0.3144,0.0421,0.0057,0.0000,0.0116,0.1516
clinical_dense_24,24,polyT30,73,10,0.622,4,0.4726,0.1199,0.0268,0.0000,0.0276,0.2511
clinical_grid_12,12,polyT10,73,2,0.009,1,0.0089,0.0000,0.0000,0.0000,0.0002,0.0039
clinical_grid_12,12,polyT10,73,5,0.022,1,0.0217,0.0000,0.0000,0.0000,0.0005,0.0094
clinical_grid_12,12,polyT10,73,10,0.059,2,0.0555,0.0038,0.0000,0.0000,0.0015,0.0253
clinical_grid_12,12,polyT15,73,2,0.011,1,0.0115,0.0000,0.0000,0.0000,0.0003,0.0050
clinical_grid_12,12,polyT15,73,5,0.041,2,0.0395,0.0019,0.0000,0.0000,0.0010,0.0178
clinical_grid_12,12,polyT15,73,10,0.126,2,0.1212,0.0045,0.0000,0.0000,0.0031,0.0540
clinical_grid_12,12,polyT20,73,2,0.068,1,0.0682,0.0000,0.0000,0.0000,0.0017,0.0296
clinical_grid_12,12,polyT20,73,5,0.089,2,0.0893,0.0000,0.0000,0.0000,0.0022,0.0387
clinical_grid_12,12,polyT20,73,10,0.247,3,0.2066,0.0408,0.0000,0.0000,0.0062,0.1031
clinical_grid_12,12,polyT30,73,2,0.119,2,0.1148,0.0038,0.0000,0.0000,0.0030,0.0510
clinical_grid_12,12,polyT30,73,5,0.247,3,0.2296,0.0172,0.0000,0.0000,0.0062,0.1052
clinical_grid_12,12,polyT30,73,10,0.376,4,0.3233,0.0485,0.0038,0.0000,0.0111,0.1572
clinical_grid_18,18,polyT10,73,2,0.041,2,0.0395,0.0013,0.0000,0.0000,0.0010,0.0176
clinical_grid_18,18,polyT10,73,5,0.033,2,0.0306,0.0026,0.0000,0.0000,0.0008,0.0141
clinical_grid_18,18,polyT10,73,10,0.055,2,0.0542,0.0013,0.0000,0.0000,0.0014,0.0239
clinical_grid_18,18,polyT15,73,2,0.048,2,0.0472,0.0013,0.0000,0.0000,0.0012,0.0209
clinical_grid_18,18,polyT15,73,5,0.069,2,0.0644,0.0045,0.0000,0.0000,0.0017,0.0294
clinical_grid_18,18,polyT15,73,10,0.125,3,0.1161,0.0089,0.0000,0.0000,0.0031,0.0533
clinical_grid_18,18,polyT20,73,2,0.075,1,0.0746,0.0000,0.0000,0.0000,0.0019,0.0323
clinical_grid_18,18,polyT20,73,5,0.173,3,0.1633,0.0089,0.0013,0.0000,0.0049,0.0740
clinical_grid_18,18,polyT20,73,10,0.283,3,0.2430,0.0376,0.0026,0.0000,0.0082,0.1184
clinical_grid_18,18,polyT30,73,2,0.090,2,0.0899,0.0000,0.0000,0.0000,0.0022,0.0390
clinical_grid_18,18,polyT30,73,5,0.303,3,0.2564,0.0453,0.0013,0.0000,0.0081,0.1265
clinical_grid_18,18,polyT30,73,10,0.547,4,0.4279,0.0989,0.0128,0.0000,0.0194,0.2216
clinical_hybrid_24,24,polyT10,73,2,0.012,1,0.0121,0.0000,0.0000,0.0000,0.0003,0.0053
clinical_hybrid_24,24,polyT10,73,5,0.034,1,0.0338,0.0000,0.0000,0.0000,0.0008,0.0146
clinical_hybrid_24,24,polyT10,73,10,0.075,3,0.0733,0.0019,0.0000,0.0000,0.0019,0.0324
clinical_hybrid_24,24,polyT15,73,2,0.036,2,0.0351,0.0013,0.0000,0.0000,0.0009,0.0156
clinical_hybrid_24,24,polyT15,73,5,0.099,3,0.0938,0.0057,0.0000,0.0000,0.0025,0.0425
clinical_hybrid_24,24,polyT15,73,10,0.209,4,0.1856,0.0230,0.0006,0.0000,0.0055,0.0882
clinical_hybrid_24,24,polyT20,73,2,0.076,2,0.0759,0.0000,0.0000,0.0000,0.0019,0.0329
clinical_hybrid_24,24,polyT20,73,5,0.212,2,0.1996,0.0121,0.0000,0.0000,0.0053,0.0905
clinical_hybrid_24,24,polyT20,73,10,0.434,5,0.3501,0.0759,0.0077,0.0000,0.0143,0.1788
clinical_hybrid_24,24,polyT30,73,2,0.163,2,0.1556,0.0077,0.0000,0.0000,0.0041,0.0700
clinical_hybrid_24,24,polyT30,73,5,0.402,3,0.3457,0.0478,0.0089,0.0000,0.0141,0.1678
clinical_hybrid_24,24,polyT30,73,10,0.808,5,0.5797,0.1811,0.0440,0.0000,0.0400,0.3220
clinical_rescue_24,24,polyT10,73,2,0.020,1,0.0198,0.0000,0.0000,0.0000,0.0005,0.0086
clinical_rescue_24,24,polyT10,73,5,0.042,2,0.0408,0.0013,0.0000,0.0000,0.0011,0.0181
clinical_rescue_24,24,polyT10,73,10,0.080,2,0.0778,0.0026,0.0000,0.0000,0.0020,0.0346
clinical_rescue_24,24,polyT15,73,2,0.054,1,0.0536,0.0000,0.0000,0.0000,0.0013,0.0232
clinical_rescue_24,24,polyT15,73,5,0.058,3,0.0555,0.0026,0.0000,0.0000,0.0015,0.0249
clinical_rescue_24,24,polyT15,73,10,0.193,3,0.1805,0.0121,0.0000,0.0000,0.0048,0.0822
clinical_rescue_24,24,polyT20,73,2,0.095,2,0.0938,0.0013,0.0000,0.0000,0.0024,0.0411
clinical_rescue_24,24,polyT20,73,5,0.177,3,0.1620,0.0153,0.0000,0.0000,0.0044,0.0753
clinical_rescue_24,24,polyT20,73,10,0.361,3,0.3048,0.0542,0.0019,0.0000,0.0099,0.1506
clinical_rescue_24,24,polyT30,73,2,0.147,2,0.1422,0.0051,0.0000,0.0000,0.0037,0.0633
clinical_rescue_24,24,polyT30,73,5,0.351,3,0.3099,0.0408,0.0000,0.0000,0.0088,0.1479
clinical_rescue_24,24,polyT30,73,10,0.677,4,0.5140,0.1454,0.0159,0.0000,0.0241,0.2750
dense_24,24,polyT10,73,2,0.024,1,0.0236,0.0000,0.0000,0.0000,0.0006,0.0102
dense_24,24,polyT10,73,5,0.079,2,0.0746,0.0045,0.0000,0.0000,0.0020,0.0338
dense_24,24,polyT10,73,10,0.097,3,0.0944,0.0026,0.0000,0.0000,0.0024,0.0418
dense_24,24,polyT15,73,2,0.071,2,0.0708,0.0000,0.0000,0.0000,0.0018,0.0307
dense_24,24,polyT15,73,5,0.085,3,0.0823,0.0026,0.0000,0.0000,0.0021,0.0365
dense_24,24,polyT15,73,10,0.207,5,0.1894,0.0166,0.0013,0.0000,0.0058,0.0879
dense_24,24,polyT20,73,2,0.075,2,0.0740,0.0013,0.0000,0.0000,0.0019,0.0325
dense_24,24,polyT20,73,5,0.204,3,0.1894,0.0147,0.0000,0.0000,0.0051,0.0870
dense_24,24,polyT20,73,10,0.433,4,0.3667,0.0606,0.0045,0.0000,0.0128,0.1802
dense_24,24,polyT30,73,2,0.152,2,0.1499,0.0019,0.0000,0.0000,0.0038,0.0656
dense_24,24,polyT30,73,5,0.382,4,0.3425,0.0389,0.0006,0.0000,0.0098,0.1615
dense_24,24,polyT30,73,10,0.809,5,0.5765,0.1818,0.0408,0.0000,0.0386,0.3203
grid_18,18,polyT10,73,2,0.003,1,0.0026,0.0000,0.0000,0.0000,0.0001,0.0011
grid_18,18,polyT10,73,5,0.027,2,0.0255,0.0019,0.0000,0.0000,0.0007,0.0117
grid_18,18,polyT10,73,10,0.049,2,0.0472,0.0019,0.0000,0.0000,0.0012,0.0211
grid_18,18,polyT15,73,2,0.026,1,0.0261,0.0000,0.0000,0.0000,0.0007,0.0113
grid_18,18,polyT15,73,5,0.072,2,0.0721,0.0000,0.0000,0.0000,0.0018,0.0312
grid_18,18,polyT15,73,10,0.103,2,0.1001,0.0026,0.0000,0.0000,0.0026,0.0442
grid_18,18,polyT20,73,2,0.081,2,0.0765,0.0045,0.0000,0.0000,0.0020,0.0347
grid_18,18,polyT20,73,5,0.129,2,0.1250,0.0038,0.0000,0.0000,0.0032,0.0554
grid_18,18,polyT20,73,10,0.253,3,0.2360,0.0172,0.0000,0.0000,0.0063,0.1080
grid_18,18,polyT30,73,2,0.140,2,0.1352,0.0045,0.0000,0.0000,0.0035,0.0601
grid_18,18,polyT30,73,5,0.290,3,0.2672,0.0230,0.0000,0.0000,0.0073,0.1234
grid_18,18,polyT30,73,10,0.559,5,0.4624,0.0867,0.0096,0.0000,0.0183,0.2315
ring_12,12,polyT10,73,2,0.003,1,0.0026,0.0000,0.0000,0.0000,0.0001,0.0011
ring_12,12,polyT10,73,5,0.027,1,0.0274,0.0000,0.0000,0.0000,0.0007,0.0119
ring_12,12,polyT10,73,10,0.036,2,0.0344,0.0013,0.0000,0.0000,0.0009,0.0153
ring_12,12,polyT15,73,2,0.017,1,0.0172,0.0000,0.0000,0.0000,0.0004,0.0075
ring_12,12,polyT15,73,5,0.038,1,0.0376,0.0000,0.0000,0.0000,0.0009,0.0163
ring_12,12,polyT15,73,10,0.114,2,0.1116,0.0026,0.0000,0.0000,0.0029,0.0492
ring_12,12,polyT20,73,2,0.050,1,0.0497,0.0000,0.0000,0.0000,0.0012,0.0216
ring_12,12,polyT20,73,5,0.103,3,0.0976,0.0057,0.0000,0.0000,0.0026,0.0442
ring_12,12,polyT20,73,10,0.194,3,0.1677,0.0255,0.0006,0.0000,0.0051,0.0813
ring_12,12,polyT30,73,2,0.093,1,0.0931,0.0000,0.0000,0.0000,0.0023,0.0403
ring_12,12,polyT30,73,5,0.182,2,0.1722,0.0096,0.0000,0.0000,0.0045,0.0778
ring_12,12,polyT30,73,10,0.401,4,0.3469,0.0478,0.0057,0.0000,0.0126,0.1676
sparse_6,6,polyT10,73,2,0.005,1,0.0051,0.0000,0.0000,0.0000,0.0001,0.0022
sparse_6,6,polyT10,73,5,0.008,1,0.0083,0.0000,0.0000,0.0000,0.0002,0.0036
sparse_6,6,polyT10,73,10,0.026,1,0.0261,0.0000,0.0000,0.0000,0.0007,0.0113
sparse_6,6,polyT15,73,2,0.007,1,0.0070,0.0000,0.0000,0.0000,0.0002,0.0030
sparse_6,6,polyT15,73,5,0.027,1,0.0268,0.0000,0.0000,0.0000,0.0007,0.0116
sparse_6,6,polyT15,73,10,0.035,2,0.0351,0.0000,0.0000,0.0000,0.0009,0.0152
sparse_6,6,polyT20,73,2,0.022,1,0.0217,0.0000,0.0000,0.0000,0.0005,0.0094
sparse_6,6,polyT20,73,5,0.059,1,0.0587,0.0000,0.0000,0.0000,0.0015,0.0254
sparse_6,6,polyT20,73,10,0.089,2,0.0823,0.0070,0.0000,0.0000,0.0022,0.0380
sparse_6,6,polyT30,73,2,0.048,1,0.0478,0.0000,0.0000,0.0000,0.0012,0.0207
sparse_6,6,polyT30,73,5,0.101,2,0.0950,0.0057,0.0000,0.0000,0.0025,0.0431
sparse_6,6,polyT30,73,10,0.192,2,0.1843,0.0077,0.0000,0.0000,0.0048,0.0824
