layout,formulation,contact_boost,background_reduction,p10_useful_capture,burden
triple_ring_24,rigid_spacer_PEG,1.0000,0.6700,0.9013,1.6700
broad_grid_20,polyT30_PEG_passivated,0.9250,0.7500,0.9002,1.6750
broad_grid_20,rigid_spacer_PEG,1.1750,0.5000,0.9016,1.6750
rescue_24,rigid_spacer_PEG,0.8750,0.8000,0.9018,1.6750
sunflower_24,mixed_spacer_antifouling,1.1250,0.5500,0.9004,1.6750
triple_ring_24,polyT30_PEG_passivated,0.7750,0.9000,0.9009,1.6750
broad_grid_20,mixed_spacer_antifouling,1.1000,0.5800,0.9005,1.6800
hybrid_24,mixed_spacer_antifouling,1.2000,0.4800,0.9004,1.6800
rescue_24,polyT30_standard,0.8000,0.8800,0.9014,1.6800
sunflower_20,rigid_spacer_PEG,0.8500,0.8300,0.9006,1.6800
sunflower_24,polyT30_PEG_passivated,0.8000,0.8800,0.9005,1.6800
sunflower_24,rigid_spacer_PEG,0.9000,0.7800,0.9018,1.6800
triple_ring_24,polyT30_PEG_passivated,0.8000,0.8800,0.9002,1.6800
broad_grid_24,mixed_spacer_antifouling,1.2250,0.4600,0.9001,1.6850
broad_grid_24,rigid_spacer_PEG,1.1250,0.5600,0.9011,1.6850
four_patch_24,mixed_spacer_antifouling,1.1250,0.5600,0.9012,1.6850
hybrid_24,polyT30_PEG_passivated,0.8250,0.8600,0.9000,1.6850
hybrid_24,rigid_spacer_PEG,1.1250,0.5600,0.9002,1.6850
sunflower_20,polyT30_PEG_passivated,0.7750,0.9100,0.9010,1.6850
triple_ring_24,mixed_spacer_antifouling,1.2750,0.4100,0.9003,1.6850
triple_ring_24,rigid_spacer_PEG,1.0250,0.6600,0.9001,1.6850
broad_grid_20,polyT30_PEG_passivated,0.9500,0.7400,0.9000,1.6900
broad_grid_20,polyT30_standard,0.7000,0.9900,0.9010,1.6900
broad_grid_20,rigid_spacer_PEG,1.2000,0.4900,0.9002,1.6900
rescue_24,rigid_spacer_PEG,0.9000,0.7900,0.9014,1.6900
sunflower_20,mixed_spacer_antifouling,1.3500,0.3400,0.9010,1.6900
sunflower_20,polyT30_PEG_passivated,0.8000,0.8900,0.9000,1.6900
broad_grid_20,mixed_spacer_antifouling,1.1250,0.5700,0.9001,1.6950
rescue_24,mixed_spacer_antifouling,1.1750,0.5200,0.9008,1.6950
sunflower_20,rigid_spacer_PEG,0.8750,0.8200,0.9010,1.6950
sunflower_24,polyT30_PEG_passivated,0.8250,0.8700,0.9004,1.6950
sunflower_24,rigid_spacer_PEG,0.9250,0.7700,0.9014,1.6950
triple_ring_24,polyT30_PEG_passivated,0.8250,0.8700,0.9009,1.6950
four_patch_24,mixed_spacer_antifouling,1.1500,0.5500,0.9002,1.7000
sunflower_24,mixed_spacer_antifouling,1.1500,0.5500,0.9009,1.7000
broad_grid_20,polyT30_standard,0.7250,0.9800,0.9016,1.7050
hybrid_24,mixed_spacer_antifouling,1.2250,0.4800,0.9009,1.7050
rescue_24,polyT30_standard,0.8250,0.8800,0.9031,1.7050
rescue_24,rigid_spacer_PEG,0.9250,0.7800,0.9008,1.7050
sunflower_20,mixed_spacer_antifouling,1.3750,0.3300,0.9003,1.7050
sunflower_20,polyT30_PEG_passivated,0.8250,0.8800,0.9007,1.7050
broad_grid_24,mixed_spacer_antifouling,1.2500,0.4600,0.9009,1.7100
broad_grid_24,rigid_spacer_PEG,1.1500,0.5600,0.9013,1.7100
hybrid_24,polyT30_PEG_passivated,0.8500,0.8600,0.9018,1.7100
hybrid_24,rigid_spacer_PEG,1.1500,0.5600,0.9005,1.7100
sunflower_20,rigid_spacer_PEG,0.9000,0.8100,0.9014,1.7100
sunflower_24,polyT30_PEG_passivated,0.8500,0.8600,0.9001,1.7100
sunflower_24,rigid_spacer_PEG,0.9500,0.7600,0.9010,1.7100
triple_ring_24,mixed_spacer_antifouling,1.3000,0.4100,0.9004,1.7100
triple_ring_24,polyT30_PEG_passivated,0.8500,0.8600,0.9015,1.7100
triple_ring_24,rigid_spacer_PEG,1.0500,0.6600,0.9009,1.7100
broad_grid_20,polyT30_PEG_passivated,0.9750,0.7400,0.9015,1.7150
broad_grid_20,rigid_spacer_PEG,1.2250,0.4900,0.9004,1.7150
broad_grid_24,polyT30_standard,0.7250,0.9900,0.9008,1.7150
sunflower_20,rigid_spacer_PEG,0.9250,0.7900,0.9003,1.7150
triple_ring_24,polyT30_PEG_passivated,0.8750,0.8400,0.9004,1.7150
broad_grid_20,mixed_spacer_antifouling,1.1500,0.5700,0.9011,1.7200
broad_grid_20,polyT30_standard,0.7500,0.9700,0.9021,1.7200
rescue_24,mixed_spacer_antifouling,1.2000,0.5200,0.9010,1.7200
rescue_24,polyT30_standard,0.8500,0.8700,0.9016,1.7200
rescue_24,rigid_spacer_PEG,0.9500,0.7700,0.9002,1.7200
sunflower_20,polyT30_PEG_passivated,0.8500,0.8700,0.9012,1.7200
broad_grid_20,polyT30_standard,0.7750,0.9500,0.9001,1.7250
broad_grid_24,mixed_spacer_antifouling,1.2750,0.4500,0.9003,1.7250
four_patch_24,mixed_spacer_antifouling,1.1750,0.5500,0.9007,1.7250
hybrid_24,polyT30_PEG_passivated,0.8750,0.8500,0.9012,1.7250
sunflower_24,mixed_spacer_antifouling,1.1750,0.5500,0.9015,1.7250
sunflower_24,rigid_spacer_PEG,0.9750,0.7500,0.9005,1.7250
broad_grid_20,polyT30_PEG_passivated,1.0000,0.7300,0.9012,1.7300
broad_grid_24,polyT30_standard,0.7500,0.9800,0.9004,1.7300
hybrid_24,mixed_spacer_antifouling,1.2500,0.4800,0.9014,1.7300
sunflower_20,mixed_spacer_antifouling,1.4000,0.3300,0.9007,1.7300
sunflower_20,rigid_spacer_PEG,0.9500,0.7800,0.9006,1.7300
triple_ring_24,polyT30_PEG_passivated,0.9000,0.8300,0.9008,1.7300
broad_grid_20,mixed_spacer_antifouling,1.1750,0.5600,0.9007,1.7350
broad_grid_24,rigid_spacer_PEG,1.1750,0.5600,0.9016,1.7350
hybrid_24,rigid_spacer_PEG,1.1750,0.5600,0.9008,1.7350
sunflower_20,polyT30_PEG_passivated,0.8750,0.8600,0.9016,1.7350
sunflower_24,polyT30_PEG_passivated,0.8750,0.8600,0.9020,1.7350
triple_ring_24,mixed_spacer_antifouling,1.3250,0.4100,0.9005,1.7350
triple_ring_24,rigid_spacer_PEG,1.0750,0.6600,0.9017,1.7350
broad_grid_20,polyT30_standard,0.8000,0.9400,0.9004,1.7400
broad_grid_20,rigid_spacer_PEG,1.2500,0.4900,0.9006,1.7400
hybrid_24,polyT30_PEG_passivated,0.9000,0.8400,0.9006,1.7400
sunflower_20,polyT30_PEG_passivated,0.9000,0.8400,0.9003,1.7400
sunflower_24,mixed_spacer_antifouling,1.2000,0.5400,0.9004,1.7400
sunflower_24,polyT30_standard,0.7500,0.9900,0.9013,1.7400
broad_grid_20,polyT30_PEG_passivated,1.0250,0.7200,0.9009,1.7450
broad_grid_24,polyT30_standard,0.7750,0.9700,0.9004,1.7450
hybrid_24,mixed_spacer_antifouling,1.2750,0.4700,0.9003,1.7450
rescue_24,mixed_spacer_antifouling,1.2250,0.5200,0.9012,1.7450
rescue_24,polyT30_standard,0.8750,0.8700,0.9031,1.7450
rescue_24,rigid_spacer_PEG,0.9750,0.7700,0.9015,1.7450
sunflower_20,rigid_spacer_PEG,0.9750,0.7700,0.9008,1.7450
triple_ring_24,polyT30_PEG_passivated,0.9250,0.8200,0.9011,1.7450
broad_grid_20,mixed_spacer_antifouling,1.2000,0.5500,0.9002,1.7500
broad_grid_24,mixed_spacer_antifouling,1.3000,0.4500,0.9011,1.7500
four_patch_24,mixed_spacer_antifouling,1.2000,0.5500,0.9013,1.7500
sunflower_24,polyT30_PEG_passivated,0.9000,0.8500,0.9015,1.7500
sunflower_24,rigid_spacer_PEG,1.0000,0.7500,0.9019,1.7500
triple_ring_24,rigid_spacer_PEG,1.1000,0.6500,0.9004,1.7500
broad_grid_20,polyT30_standard,0.8250,0.9300,0.9003,1.7550
sunflower_20,mixed_spacer_antifouling,1.4250,0.3300,0.9011,1.7550
sunflower_20,polyT30_PEG_passivated,0.9250,0.8300,0.9005,1.7550
sunflower_24,polyT30_standard,0.7750,0.9800,0.9012,1.7550
broad_grid_20,polyT30_PEG_passivated,1.0500,0.7100,0.9005,1.7600
broad_grid_24,polyT30_standard,0.8000,0.9600,0.9009,1.7600
broad_grid_24,rigid_spacer_PEG,1.2000,0.5600,0.9018,1.7600
hybrid_24,rigid_spacer_PEG,1.2000,0.5600,0.9010,1.7600
rescue_24,polyT30_standard,0.9000,0.8600,0.9014,1.7600
rescue_24,rigid_spacer_PEG,1.0000,0.7600,0.9008,1.7600
sunflower_20,rigid_spacer_PEG,1.0000,0.7600,0.9010,1.7600
triple_ring_24,mixed_spacer_antifouling,1.3500,0.4100,0.9006,1.7600
triple_ring_24,polyT30_PEG_passivated,0.9500,0.8100,0.9014,1.7600
broad_grid_20,rigid_spacer_PEG,1.2750,0.4900,0.9008,1.7650
broad_grid_24,mixed_spacer_antifouling,1.3250,0.4400,0.9002,1.7650
four_patch_24,mixed_spacer_antifouling,1.2250,0.5400,0.9001,1.7650
hybrid_24,polyT30_PEG_passivated,0.9250,0.8400,0.9022,1.7650
sunflower_24,mixed_spacer_antifouling,1.2250,0.5400,0.9009,1.7650
sunflower_24,polyT30_PEG_passivated,0.9250,0.8400,0.9010,1.7650
sunflower_24,rigid_spacer_PEG,1.0250,0.7400,0.9013,1.7650
triple_ring_24,polyT30_PEG_passivated,0.9750,0.7900,0.9000,1.7650
hybrid_24,mixed_spacer_antifouling,1.3000,0.4700,0.9007,1.7700
rescue_24,mixed_spacer_antifouling,1.2500,0.5200,0.9014,1.7700
sunflower_20,mixed_spacer_antifouling,1.4500,0.3200,0.9000,1.7700
sunflower_20,polyT30_PEG_passivated,0.9500,0.8200,0.9007,1.7700
sunflower_24,polyT30_standard,0.8000,0.9700,0.9009,1.7700
broad_grid_20,mixed_spacer_antifouling,1.2250,0.5500,0.9011,1.7750
broad_grid_20,polyT30_PEG_passivated,1.0750,0.7000,0.9000,1.7750
broad_grid_24,polyT30_standard,0.8250,0.9500,0.9013,1.7750
broad_grid_24,rigid_spacer_PEG,1.2250,0.5500,0.9001,1.7750
sunflower_20,rigid_spacer_PEG,1.0250,0.7500,0.9011,1.7750
triple_ring_24,rigid_spacer_PEG,1.1250,0.6500,0.9011,1.7750
broad_grid_20,polyT30_standard,0.8500,0.9300,0.9024,1.7800
hybrid_24,polyT30_PEG_passivated,0.9500,0.8300,0.9014,1.7800
sunflower_24,mixed_spacer_antifouling,1.2500,0.5300,0.9002,1.7800
sunflower_24,polyT30_PEG_passivated,0.9500,0.8300,0.9004,1.7800
sunflower_24,rigid_spacer_PEG,1.0500,0.7300,0.9005,1.7800
triple_ring_24,polyT30_PEG_passivated,1.0000,0.7800,0.9001,1.7800
hybrid_24,rigid_spacer_PEG,1.2250,0.5600,0.9012,1.7850
rescue_24,polyT30_standard,0.9250,0.8600,0.9028,1.7850
rescue_24,rigid_spacer_PEG,1.0250,0.7600,0.9020,1.7850
sunflower_20,polyT30_PEG_passivated,0.9750,0.8100,0.9006,1.7850
sunflower_24,polyT30_standard,0.8250,0.9600,0.9006,1.7850
triple_ring_24,mixed_spacer_antifouling,1.3750,0.4100,0.9007,1.7850
broad_grid_20,mixed_spacer_antifouling,1.2500,0.5400,0.9005,1.7900
broad_grid_20,rigid_spacer_PEG,1.3000,0.4900,0.9010,1.7900
broad_grid_24,mixed_spacer_antifouling,1.3500,0.4400,0.9005,1.7900
broad_grid_24,polyT30_standard,0.8500,0.9400,0.9015,1.7900
four_patch_24,mixed_spacer_antifouling,1.2500,0.5400,0.9006,1.7900
sunflower_20,rigid_spacer_PEG,1.0500,0.7400,0.9010,1.7900
broad_grid_20,polyT30_standard,0.8750,0.9200,0.9015,1.7950
broad_grid_24,polyT30_standard,0.8750,0.9200,0.9005,1.7950
hybrid_24,mixed_spacer_antifouling,1.3250,0.4700,0.9011,1.7950
hybrid_24,polyT30_PEG_passivated,0.9750,0.8200,0.9005,1.7950
rescue_24,mixed_spacer_antifouling,1.2750,0.5200,0.9016,1.7950
sunflower_20,mixed_spacer_antifouling,1.4750,0.3200,0.9000,1.7950
triple_ring_24,polyT30_PEG_passivated,1.0250,0.7700,0.9001,1.7950
broad_grid_20,polyT30_PEG_passivated,1.1000,0.7000,0.9012,1.8000
broad_grid_24,rigid_spacer_PEG,1.2500,0.5500,0.9003,1.8000
rescue_24,polyT30_standard,0.9500,0.8500,0.9010,1.8000
rescue_24,rigid_spacer_PEG,1.0500,0.7500,0.9012,1.8000
sunflower_20,polyT30_PEG_passivated,1.0000,0.8000,0.9003,1.8000
sunflower_24,polyT30_standard,0.8500,0.9500,0.9001,1.8000
triple_ring_24,rigid_spacer_PEG,1.1500,0.6500,0.9018,1.8000
sunflower_20,rigid_spacer_PEG,1.0750,0.7300,0.9004,1.8050
sunflower_24,mixed_spacer_antifouling,1.2750,0.5300,0.9009,1.8050
sunflower_24,polyT30_PEG_passivated,0.9750,0.8300,0.9020,1.8050
sunflower_24,rigid_spacer_PEG,1.0750,0.7300,0.9018,1.8050
broad_grid_20,polyT30_standard,0.9000,0.9100,0.9009,1.8100
broad_grid_24,polyT30_standard,0.9000,0.9100,0.9010,1.8100
hybrid_24,rigid_spacer_PEG,1.2500,0.5600,0.9014,1.8100
rescue_24,mixed_spacer_antifouling,1.3000,0.5100,0.9000,1.8100
triple_ring_24,mixed_spacer_antifouling,1.4000,0.4100,0.9008,1.8100
triple_ring_24,polyT30_PEG_passivated,1.0500,0.7600,0.9001,1.8100
broad_grid_20,mixed_spacer_antifouling,1.2750,0.5400,0.9011,1.8150
broad_grid_20,polyT30_PEG_passivated,1.1250,0.6900,0.9006,1.8150
broad_grid_20,rigid_spacer_PEG,1.3250,0.4900,0.9011,1.8150
broad_grid_24,mixed_spacer_antifouling,1.3750,0.4400,0.9009,1.8150
four_patch_24,mixed_spacer_antifouling,1.2750,0.5400,0.9009,1.8150
rescue_24,rigid_spacer_PEG,1.0750,0.7400,0.9003,1.8150
triple_ring_24,rigid_spacer_PEG,1.1750,0.6400,0.9004,1.8150
hybrid_24,mixed_spacer_antifouling,1.3500,0.4700,0.9015,1.8200
hybrid_24,polyT30_PEG_passivated,1.0000,0.8200,0.9019,1.8200
sunflower_20,mixed_spacer_antifouling,1.5000,0.3200,0.9001,1.8200
sunflower_24,mixed_spacer_antifouling,1.3000,0.5200,0.9001,1.8200
sunflower_24,polyT30_PEG_passivated,1.0000,0.8200,0.9012,1.8200
sunflower_24,rigid_spacer_PEG,1.1000,0.7200,0.9010,1.8200
broad_grid_20,polyT30_standard,0.9250,0.9000,0.9003,1.8250
broad_grid_24,polyT30_standard,0.9250,0.9000,0.9015,1.8250
broad_grid_24,rigid_spacer_PEG,1.2750,0.5500,0.9005,1.8250
rescue_24,polyT30_standard,0.9750,0.8500,0.9023,1.8250
sunflower_20,polyT30_PEG_passivated,1.0250,0.8000,0.9018,1.8250
sunflower_24,polyT30_standard,0.8750,0.9500,0.9023,1.8250
triple_ring_24,polyT30_PEG_passivated,1.0750,0.7500,0.9000,1.8250
broad_grid_20,mixed_spacer_antifouling,1.3000,0.5300,0.9001,1.8300
broad_grid_20,polyT30_PEG_passivated,1.1500,0.6800,0.9000,1.8300
sunflower_20,rigid_spacer_PEG,1.1000,0.7300,0.9016,1.8300
hybrid_24,mixed_spacer_antifouling,1.3750,0.4600,0.9003,1.8350
hybrid_24,polyT30_PEG_passivated,1.0250,0.8100,0.9009,1.8350
hybrid_24,rigid_spacer_PEG,1.2750,0.5600,0.9016,1.8350
rescue_24,mixed_spacer_antifouling,1.3250,0.5100,0.9002,1.8350
sunflower_24,polyT30_PEG_passivated,1.0250,0.8100,0.9004,1.8350
sunflower_24,rigid_spacer_PEG,1.1250,0.7100,0.9001,1.8350
triple_ring_24,mixed_spacer_antifouling,1.4250,0.4100,0.9009,1.8350
broad_grid_20,rigid_spacer_PEG,1.3500,0.4900,0.9013,1.8400
broad_grid_24,mixed_spacer_antifouling,1.4000,0.4400,0.9012,1.8400
broad_grid_24,polyT30_standard,0.9500,0.8900,0.9015,1.8400
four_patch_24,mixed_spacer_antifouling,1.3000,0.5400,0.9010,1.8400
rescue_24,polyT30_standard,1.0000,0.8400,0.9004,1.8400
rescue_24,rigid_spacer_PEG,1.1000,0.7400,0.9014,1.8400
sunflower_20,polyT30_PEG_passivated,1.0500,0.7900,0.9014,1.8400
sunflower_24,polyT30_standard,0.9000,0.9400,0.9017,1.8400
triple_ring_24,rigid_spacer_PEG,1.2000,0.6400,0.9010,1.8400
sunflower_20,rigid_spacer_PEG,1.1250,0.7200,0.9009,1.8450
sunflower_24,mixed_spacer_antifouling,1.3250,0.5200,0.9007,1.8450
broad_grid_20,polyT30_standard,0.9500,0.9000,0.9022,1.8500
broad_grid_24,rigid_spacer_PEG,1.3000,0.5500,0.9006,1.8500
triple_ring_24,polyT30_PEG_passivated,1.1000,0.7500,0.9014,1.8500
broad_grid_20,mixed_spacer_antifouling,1.3250,0.5300,0.9005,1.8550
broad_grid_20,polyT30_PEG_passivated,1.1750,0.6800,0.9011,1.8550
broad_grid_24,mixed_spacer_antifouling,1.4250,0.4300,0.9001,1.8550
broad_grid_24,polyT30_standard,0.9750,0.8800,0.9014,1.8550
rescue_24,rigid_spacer_PEG,1.1250,0.7300,0.9003,1.8550
sunflower_20,polyT30_PEG_passivated,1.0750,0.7800,0.9009,1.8550
sunflower_24,polyT30_standard,0.9250,0.9300,0.9008,1.8550
hybrid_24,mixed_spacer_antifouling,1.4000,0.4600,0.9007,1.8600
hybrid_24,polyT30_PEG_passivated,1.0500,0.8100,0.9022,1.8600
hybrid_24,rigid_spacer_PEG,1.3000,0.5600,0.9018,1.8600
rescue_24,mixed_spacer_antifouling,1.3500,0.5100,0.9003,1.8600
sunflower_20,rigid_spacer_PEG,1.1500,0.7100,0.9002,1.8600
sunflower_24,polyT30_PEG_passivated,1.0500,0.8100,0.9018,1.8600
sunflower_24,rigid_spacer_PEG,1.1500,0.7100,0.9009,1.8600
triple_ring_24,mixed_spacer_antifouling,1.4500,0.4100,0.9010,1.8600
broad_grid_20,polyT30_standard,0.9750,0.8900,0.9019,1.8650
broad_grid_20,rigid_spacer_PEG,1.3750,0.4900,0.9014,1.8650
four_patch_24,mixed_spacer_antifouling,1.3250,0.5400,0.9011,1.8650
rescue_24,polyT30_standard,1.0250,0.8400,0.9015,1.8650
triple_ring_24,polyT30_PEG_passivated,1.1250,0.7400,0.9007,1.8650
triple_ring_24,rigid_spacer_PEG,1.2250,0.6400,0.9016,1.8650
broad_grid_20,polyT30_PEG_passivated,1.2000,0.6700,0.9004,1.8700
broad_grid_24,polyT30_standard,1.0000,0.8700,0.9004,1.8700
sunflower_20,polyT30_PEG_passivated,1.1000,0.7700,0.9003,1.8700
sunflower_24,mixed_spacer_antifouling,1.3500,0.5200,0.9013,1.8700
broad_grid_24,rigid_spacer_PEG,1.3250,0.5500,0.9008,1.8750
hybrid_24,polyT30_PEG_passivated,1.0750,0.8000,0.9011,1.8750
hybrid_24,rigid_spacer_PEG,1.3250,0.5500,0.9004,1.8750
sunflower_24,polyT30_PEG_passivated,1.0750,0.8000,0.9009,1.8750
broad_grid_20,mixed_spacer_antifouling,1.3500,0.5300,0.9009,1.8800
broad_grid_20,polyT30_standard,1.0000,0.8800,0.9015,1.8800
broad_grid_24,mixed_spacer_antifouling,1.4500,0.4300,0.9004,1.8800
rescue_24,rigid_spacer_PEG,1.1500,0.7300,0.9013,1.8800
sunflower_24,polyT30_standard,0.9500,0.9300,0.9028,1.8800
triple_ring_24,rigid_spacer_PEG,1.2500,0.6300,0.9001,1.8800
hybrid_24,mixed_spacer_antifouling,1.4250,0.4600,0.9010,1.8850
rescue_24,mixed_spacer_antifouling,1.3750,0.5100,0.9004,1.8850
sunflower_20,rigid_spacer_PEG,1.1750,0.7100,0.9012,1.8850
sunflower_24,mixed_spacer_antifouling,1.3750,0.5100,0.9004,1.8850
sunflower_24,rigid_spacer_PEG,1.1750,0.7100,0.9016,1.8850
triple_ring_24,mixed_spacer_antifouling,1.4750,0.4100,0.9011,1.8850
broad_grid_20,rigid_spacer_PEG,1.4000,0.4900,0.9016,1.8900
