layout,anchor_id,x_nm,y_nm,helix_id,base_index,site_id,orientation_class,up_score,reach_multiplier,binding_multiplier
broad_grid_24_lattice,1,-25.720,-15.000,4,4,97,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,2,-15.010,-15.000,4,7,100,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,3,-4.300,-15.000,4,10,103,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,4,6.410,-15.000,4,13,106,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,5,17.120,-15.000,4,16,109,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,6,27.830,-15.000,4,19,112,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,7,-25.720,-5.000,8,4,189,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,8,-15.010,-5.000,8,7,192,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,9,-4.300,-5.000,8,10,195,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,10,6.410,-5.000,8,13,198,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,11,17.120,-5.000,8,16,201,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,12,27.830,-5.000,8,19,204,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,13,-25.720,5.000,12,4,281,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,14,-15.010,5.000,12,7,284,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,15,-4.300,5.000,12,10,287,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,16,6.410,5.000,12,13,290,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,17,17.120,5.000,12,16,293,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,18,27.830,5.000,12,19,296,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,19,-25.720,15.000,16,4,373,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,20,-15.010,15.000,16,7,376,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,21,-4.300,15.000,16,10,379,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,22,6.410,15.000,16,13,382,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,23,17.120,15.000,16,16,385,poor_facing,0.2500,0.6625,0.5125
broad_grid_24_lattice,24,27.830,15.000,16,19,388,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,1,-25.720,-15.000,4,4,97,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,2,-11.440,-15.000,4,8,101,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,3,-0.730,-15.000,4,11,104,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,4,13.550,-15.000,4,15,108,up_facing,1.0000,1.0000,1.0000
broad_grid_20_lattice,5,24.260,-15.000,4,18,111,up_facing,1.0000,1.0000,1.0000
broad_grid_20_lattice,6,-25.720,-5.000,8,4,189,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,7,-11.440,-5.000,8,8,193,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,8,-0.730,-5.000,8,11,196,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,9,13.550,-5.000,8,15,200,up_facing,1.0000,1.0000,1.0000
broad_grid_20_lattice,10,24.260,-5.000,8,18,203,up_facing,1.0000,1.0000,1.0000
broad_grid_20_lattice,11,-25.720,5.000,12,4,281,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,12,-11.440,5.000,12,8,285,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,13,-0.730,5.000,12,11,288,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,14,13.550,5.000,12,15,292,up_facing,1.0000,1.0000,1.0000
broad_grid_20_lattice,15,24.260,5.000,12,18,295,up_facing,1.0000,1.0000,1.0000
broad_grid_20_lattice,16,-25.720,15.000,16,4,373,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,17,-11.440,15.000,16,8,377,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,18,-0.730,15.000,16,11,380,poor_facing,0.2500,0.6625,0.5125
broad_grid_20_lattice,19,13.550,15.000,16,15,384,up_facing,1.0000,1.0000,1.0000
broad_grid_20_lattice,20,24.260,15.000,16,18,387,up_facing,1.0000,1.0000,1.0000
triple_ring_24_lattice,1,9.980,0.000,10,14,245,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,2,6.410,5.000,12,13,290,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,3,-0.730,7.500,13,11,311,side_facing,0.7500,0.8875,0.8375
triple_ring_24_lattice,4,-7.870,5.000,12,9,286,up_facing,1.0000,1.0000,1.0000
triple_ring_24_lattice,5,-11.440,0.000,10,8,239,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,6,-7.870,-5.000,8,9,194,up_facing,1.0000,1.0000,1.0000
triple_ring_24_lattice,7,-0.730,-7.500,7,11,173,side_facing,0.7500,0.8875,0.8375
triple_ring_24_lattice,8,6.410,-5.000,8,13,198,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,9,17.120,5.000,12,16,293,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,10,6.410,12.500,15,13,359,poor_facing,0.0000,0.5500,0.3500
triple_ring_24_lattice,11,-7.870,12.500,15,9,355,up_facing,0.7500,0.8875,0.8375
triple_ring_24_lattice,12,-18.580,5.000,12,6,283,up_facing,1.0000,1.0000,1.0000
triple_ring_24_lattice,13,-18.580,-5.000,8,6,191,up_facing,1.0000,1.0000,1.0000
triple_ring_24_lattice,14,-7.870,-12.500,5,9,125,up_facing,0.7500,0.8875,0.8375
triple_ring_24_lattice,15,6.410,-12.500,5,13,129,poor_facing,0.0000,0.5500,0.3500
triple_ring_24_lattice,16,17.120,-5.000,8,16,201,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,17,27.830,5.000,12,19,296,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,18,17.120,17.500,17,16,408,poor_facing,0.0000,0.5500,0.3500
triple_ring_24_lattice,19,-4.300,20.000,18,10,425,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,20,-25.720,12.500,15,4,350,poor_facing,0.0000,0.5500,0.3500
triple_ring_24_lattice,21,-29.290,-5.000,8,3,188,up_facing,1.0000,1.0000,1.0000
triple_ring_24_lattice,22,-15.010,-17.500,3,7,77,poor_facing,0.0000,0.5500,0.3500
triple_ring_24_lattice,23,6.410,-20.000,2,13,60,poor_facing,0.2500,0.6625,0.5125
triple_ring_24_lattice,24,24.260,-12.500,5,18,134,up_facing,0.7500,0.8875,0.8375
