source_layout,optimized_layout,anchor_id,original_x_nm,original_y_nm,old_lattice_x_nm,old_lattice_y_nm,optimized_x_nm,optimized_y_nm,shift_from_original_nm,shift_from_old_lattice_nm,helix_id,base_index,site_id,orientation_class,up_score
broad_grid_24_lattice,broad_grid_24_orientation_optimized,1,-27.000,-15.000,-25.720,-15.000,-29.290,-15.000,2.290,3.570,4,3,96,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,2,-16.200,-15.000,-15.010,-15.000,-18.580,-15.000,2.380,3.570,4,6,99,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,3,-5.400,-15.000,-4.300,-15.000,-7.870,-15.000,2.470,3.570,4,9,102,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,4,5.400,-15.000,6.410,-15.000,2.840,-15.000,2.560,3.570,4,12,105,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,5,16.200,-15.000,17.120,-15.000,13.550,-15.000,2.650,3.570,4,15,108,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,6,27.000,-15.000,27.830,-15.000,24.260,-15.000,2.740,3.570,4,18,111,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,7,-27.000,-5.000,-25.720,-5.000,-29.290,-5.000,2.290,3.570,8,3,188,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,8,-16.200,-5.000,-15.010,-5.000,-18.580,-5.000,2.380,3.570,8,6,191,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,9,-5.400,-5.000,-4.300,-5.000,-7.870,-5.000,2.470,3.570,8,9,194,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,10,5.400,-5.000,6.410,-5.000,2.840,-5.000,2.560,3.570,8,12,197,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,11,16.200,-5.000,17.120,-5.000,13.550,-5.000,2.650,3.570,8,15,200,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,12,27.000,-5.000,27.830,-5.000,24.260,-5.000,2.740,3.570,8,18,203,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,13,-27.000,5.000,-25.720,5.000,-29.290,5.000,2.290,3.570,12,3,280,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,14,-16.200,5.000,-15.010,5.000,-18.580,5.000,2.380,3.570,12,6,283,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,15,-5.400,5.000,-4.300,5.000,-7.870,5.000,2.470,3.570,12,9,286,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,16,5.400,5.000,6.410,5.000,2.840,5.000,2.560,3.570,12,12,289,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,17,16.200,5.000,17.120,5.000,13.550,5.000,2.650,3.570,12,15,292,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,18,27.000,5.000,27.830,5.000,24.260,5.000,2.740,3.570,12,18,295,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,19,-27.000,15.000,-25.720,15.000,-29.290,15.000,2.290,3.570,16,3,372,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,20,-16.200,15.000,-15.010,15.000,-18.580,15.000,2.380,3.570,16,6,375,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,21,-5.400,15.000,-4.300,15.000,-7.870,15.000,2.470,3.570,16,9,378,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,22,5.400,15.000,6.410,15.000,2.840,15.000,2.560,3.570,16,12,381,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,23,16.200,15.000,17.120,15.000,13.550,15.000,2.650,3.570,16,15,384,up_facing,1.0000
broad_grid_24_lattice,broad_grid_24_orientation_optimized,24,27.000,15.000,27.830,15.000,24.260,15.000,2.740,3.570,16,18,387,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,1,-24.000,-14.000,-25.720,-15.000,-22.150,-12.500,2.382,4.358,5,5,121,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,2,-12.000,-14.000,-11.440,-15.000,-11.440,-12.500,1.601,2.500,5,8,124,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,3,0.000,-14.000,-0.730,-15.000,2.840,-15.000,3.011,3.570,4,12,105,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,4,12.000,-14.000,13.550,-15.000,13.550,-15.000,1.845,0.000,4,15,108,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,5,24.000,-14.000,24.260,-15.000,24.260,-15.000,1.033,0.000,4,18,111,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,6,-24.000,-4.667,-25.720,-5.000,-22.150,-2.500,2.849,4.358,9,5,213,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,7,-12.000,-4.667,-11.440,-5.000,-11.440,-2.500,2.238,2.500,9,8,216,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,8,0.000,-4.667,-0.730,-5.000,2.840,-5.000,2.859,3.570,8,12,197,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,9,12.000,-4.667,13.550,-5.000,13.550,-5.000,1.585,0.000,8,15,200,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,10,24.000,-4.667,24.260,-5.000,24.260,-5.000,0.422,0.000,8,18,203,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,11,-24.000,4.667,-25.720,5.000,-22.150,2.500,2.849,4.358,11,5,259,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,12,-12.000,4.667,-11.440,5.000,-11.440,2.500,2.238,2.500,11,8,262,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,13,0.000,4.667,-0.730,5.000,2.840,5.000,2.859,3.570,12,12,289,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,14,12.000,4.667,13.550,5.000,13.550,5.000,1.585,0.000,12,15,292,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,15,24.000,4.667,24.260,5.000,24.260,5.000,0.422,0.000,12,18,295,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,16,-24.000,14.000,-25.720,15.000,-22.150,12.500,2.382,4.358,15,5,351,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,17,-12.000,14.000,-11.440,15.000,-11.440,12.500,1.601,2.500,15,8,354,side_facing,0.7500
broad_grid_20_lattice,broad_grid_20_orientation_optimized,18,0.000,14.000,-0.730,15.000,2.840,15.000,3.011,3.570,16,12,381,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,19,12.000,14.000,13.550,15.000,13.550,15.000,1.845,0.000,16,15,384,up_facing,1.0000
broad_grid_20_lattice,broad_grid_20_orientation_optimized,20,24.000,14.000,24.260,15.000,24.260,15.000,1.033,0.000,16,18,387,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,1,10.000,0.000,9.980,0.000,13.550,0.000,3.550,3.570,10,15,246,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,2,7.071,5.091,6.410,5.000,9.980,7.500,3.777,4.358,13,14,314,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,3,0.000,7.200,-0.730,7.500,2.840,5.000,3.592,4.358,12,12,289,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,4,-7.071,5.091,-7.870,5.000,-7.870,5.000,0.804,0.000,12,9,286,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,5,-10.000,0.000,-11.440,0.000,-7.870,0.000,2.130,3.570,10,9,240,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,6,-7.071,-5.091,-7.870,-5.000,-7.870,-5.000,0.804,0.000,8,9,194,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,7,-0.000,-7.200,-0.730,-7.500,2.840,-5.000,3.592,4.358,8,12,197,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,8,7.071,-5.091,6.410,-5.000,9.980,-7.500,3.777,4.358,7,14,176,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,9,18.478,5.511,17.120,5.000,20.690,7.500,2.975,4.358,13,17,317,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,10,7.654,13.304,6.410,12.500,9.980,12.500,2.461,3.570,15,14,360,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,11,-7.654,13.304,-7.870,12.500,-7.870,15.000,1.710,2.500,16,9,378,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,12,-18.478,5.511,-18.580,5.000,-18.580,5.000,0.521,0.000,12,6,283,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,13,-18.478,-5.511,-18.580,-5.000,-18.580,-5.000,0.521,0.000,8,6,191,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,14,-7.654,-13.304,-7.870,-12.500,-7.870,-15.000,1.710,2.500,4,9,102,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,15,7.654,-13.304,6.410,-12.500,9.980,-12.500,2.461,3.570,5,14,130,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,16,18.478,-5.511,17.120,-5.000,20.690,-7.500,2.975,4.358,7,17,179,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,17,29.424,4.214,27.830,5.000,31.400,2.500,2.616,4.358,11,20,274,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,18,16.667,17.960,17.120,17.500,13.550,20.000,3.725,4.358,18,15,430,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,19,-5.853,21.185,-4.300,20.000,-7.870,20.000,2.339,3.570,18,9,424,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,20,-24.944,12.000,-25.720,12.500,-22.150,12.500,2.838,3.570,15,5,351,side_facing,0.7500
triple_ring_24_lattice,triple_ring_24_orientation_optimized,21,-29.424,-4.214,-29.290,-5.000,-29.290,-5.000,0.797,0.000,8,3,188,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,22,-16.667,-17.960,-15.010,-17.500,-18.580,-20.000,2.797,4.358,2,6,53,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,23,5.853,-21.185,6.410,-20.000,2.840,-20.000,3.238,3.570,2,12,59,up_facing,1.0000
triple_ring_24_lattice,triple_ring_24_orientation_optimized,24,24.944,-12.000,24.260,-12.500,24.260,-10.000,2.114,2.500,6,18,157,up_facing,1.0000
