site_id,helix_id,base_index,x_nm,y_nm
1,0,0,-40.000,-25.000
2,0,1,-36.430,-25.000
3,0,2,-32.860,-25.000
4,0,3,-29.290,-25.000
5,0,4,-25.720,-25.000
6,0,5,-22.150,-25.000
7,0,6,-18.580,-25.000
8,0,7,-15.010,-25.000
9,0,8,-11.440,-25.000
10,0,9,-7.870,-25.000
11,0,10,-4.300,-25.000
12,0,11,-0.730,-25.000
13,0,12,2.840,-25.000
14,0,13,6.410,-25.000
15,0,14,9.980,-25.000
16,0,15,13.550,-25.000
17,0,16,17.120,-25.000
18,0,17,20.690,-25.000
19,0,18,24.260,-25.000
20,0,19,27.830,-25.000
21,0,20,31.400,-25.000
22,0,21,34.970,-25.000
23,0,22,38.540,-25.000
24,1,0,-40.000,-22.500
25,1,1,-36.430,-22.500
26,1,2,-32.860,-22.500
27,1,3,-29.290,-22.500
28,1,4,-25.720,-22.500
29,1,5,-22.150,-22.500
30,1,6,-18.580,-22.500
31,1,7,-15.010,-22.500
32,1,8,-11.440,-22.500
33,1,9,-7.870,-22.500
34,1,10,-4.300,-22.500
35,1,11,-0.730,-22.500
36,1,12,2.840,-22.500
37,1,13,6.410,-22.500
38,1,14,9.980,-22.500
39,1,15,13.550,-22.500
40,1,16,17.120,-22.500
41,1,17,20.690,-22.500
42,1,18,24.260,-22.500
43,1,19,27.830,-22.500
44,1,20,31.400,-22.500
45,1,21,34.970,-22.500
46,1,22,38.540,-22.500
47,2,0,-40.000,-20.000
48,2,1,-36.430,-20.000
49,2,2,-32.860,-20.000
50,2,3,-29.290,-20.000
51,2,4,-25.720,-20.000
52,2,5,-22.150,-20.000
53,2,6,-18.580,-20.000
54,2,7,-15.010,-20.000
55,2,8,-11.440,-20.000
56,2,9,-7.870,-20.000
57,2,10,-4.300,-20.000
58,2,11,-0.730,-20.000
59,2,12,2.840,-20.000
60,2,13,6.410,-20.000
61,2,14,9.980,-20.000
62,2,15,13.550,-20.000
63,2,16,17.120,-20.000
64,2,17,20.690,-20.000
65,2,18,24.260,-20.000
66,2,19,27.830,-20.000
67,2,20,31.400,-20.000
68,2,21,34.970,-20.000
69,2,22,38.540,-20.000
70,3,0,-40.000,-17.500
71,3,1,-36.430,-17.500
72,3,2,-32.860,-17.500
73,3,3,-29.290,-17.500
74,3,4,-25.720,-17.500
75,3,5,-22.150,-17.500
76,3,6,-18.580,-17.500
77,3,7,-15.010,-17.500
78,3,8,-11.440,-17.500
79,3,9,-7.870,-17.500
80,3,10,-4.300,-17.500
81,3,11,-0.730,-17.500
82,3,12,2.840,-17.500
83,3,13,6.410,-17.500
84,3,14,9.980,-17.500
85,3,15,13.550,-17.500
86,3,16,17.120,-17.500
87,3,17,20.690,-17.500
88,3,18,24.260,-17.500
89,3,19,27.830,-17.500
90,3,20,31.400,-17.500
91,3,21,34.970,-17.500
92,3,22,38.540,-17.500
93,4,0,-40.000,-15.000
94,4,1,-36.430,-15.000
95,4,2,-32.860,-15.000
96,4,3,-29.290,-15.000
97,4,4,-25.720,-15.000
98,4,5,-22.150,-15.000
99,4,6,-18.580,-15.000
100,4,7,-15.010,-15.000
101,4,8,-11.440,-15.000
102,4,9,-7.870,-15.000
103,4,10,-4.300,-15.000
104,4,11,-0.730,-15.000
105,4,12,2.840,-15.000
106,4,13,6.410,-15.000
107,4,14,9.980,-15.000
108,4,15,13.550,-15.000
109,4,16,17.120,-15.000
110,4,17,20.690,-15.000
111,4,18,24.260,-15.000
112,4,19,27.830,-15.000
113,4,20,31.400,-15.000
114,4,21,34.970,-15.000
115,4,22,38.540,-15.000
116,5,0,-40.000,-12.500
117,5,1,-36.430,-12.500
118,5,2,-32.860,-12.500
119,5,3,-29.290,-12.500
120,5,4,-25.720,-12.500
121,5,5,-22.150,-12.500
122,5,6,-18.580,-12.500
123,5,7,-15.010,-12.500
124,5,8,-11.440,-12.500
125,5,9,-7.870,-12.500
126,5,10,-4.300,-12.500
127,5,11,-0.730,-12.500
128,5,12,2.840,-12.500
129,5,13,6.410,-12.500
130,5,14,9.980,-12.500
131,5,15,13.550,-12.500
132,5,16,17.120,-12.500
133,5,17,20.690,-12.500
134,5,18,24.260,-12.500
135,5,19,27.830,-12.500
136,5,20,31.400,-12.500
137,5,21,34.970,-12.500
138,5,22,38.540,-12.500
139,6,0,-40.000,-10.000
140,6,1,-36.430,-10.000
141,6,2,-32.860,-10.000
142,6,3,-29.290,-10.000
143,6,4,-25.720,-10.000
144,6,5,-22.150,-10.000
145,6,6,-18.580,-10.000
146,6,7,-15.010,-10.000
147,6,8,-11.440,-10.000
148,6,9,-7.870,-10.000
149,6,10,-4.300,-10.000
150,6,11,-0.730,-10.000
151,6,12,2.840,-10.000
152,6,13,6.410,-10.000
153,6,14,9.980,-10.000
154,6,15,13.550,-10.000
155,6,16,17.120,-10.000
156,6,17,20.690,-10.000
157,6,18,24.260,-10.000
158,6,19,27.830,-10.000
159,6,20,31.400,-10.000
160,6,21,34.970,-10.000
161,6,22,38.540,-10.000
162,7,0,-40.000,-7.500
163,7,1,-36.430,-7.500
164,7,2,-32.860,-7.500
165,7,3,-29.290,-7.500
166,7,4,-25.720,-7.500
167,7,5,-22.150,-7.500
168,7,6,-18.580,-7.500
169,7,7,-15.010,-7.500
170,7,8,-11.440,-7.500
171,7,9,-7.870,-7.500
172,7,10,-4.300,-7.500
173,7,11,-0.730,-7.500
174,7,12,2.840,-7.500
175,7,13,6.410,-7.500
176,7,14,9.980,-7.500
177,7,15,13.550,-7.500
178,7,16,17.120,-7.500
179,7,17,20.690,-7.500
180,7,18,24.260,-7.500
181,7,19,27.830,-7.500
182,7,20,31.400,-7.500
183,7,21,34.970,-7.500
184,7,22,38.540,-7.500
185,8,0,-40.000,-5.000
186,8,1,-36.430,-5.000
187,8,2,-32.860,-5.000
188,8,3,-29.290,-5.000
189,8,4,-25.720,-5.000
190,8,5,-22.150,-5.000
191,8,6,-18.580,-5.000
192,8,7,-15.010,-5.000
193,8,8,-11.440,-5.000
194,8,9,-7.870,-5.000
195,8,10,-4.300,-5.000
196,8,11,-0.730,-5.000
197,8,12,2.840,-5.000
198,8,13,6.410,-5.000
199,8,14,9.980,-5.000
200,8,15,13.550,-5.000
201,8,16,17.120,-5.000
202,8,17,20.690,-5.000
203,8,18,24.260,-5.000
204,8,19,27.830,-5.000
205,8,20,31.400,-5.000
206,8,21,34.970,-5.000
207,8,22,38.540,-5.000
208,9,0,-40.000,-2.500
209,9,1,-36.430,-2.500
210,9,2,-32.860,-2.500
211,9,3,-29.290,-2.500
212,9,4,-25.720,-2.500
213,9,5,-22.150,-2.500
214,9,6,-18.580,-2.500
215,9,7,-15.010,-2.500
216,9,8,-11.440,-2.500
217,9,9,-7.870,-2.500
218,9,10,-4.300,-2.500
219,9,11,-0.730,-2.500
220,9,12,2.840,-2.500
221,9,13,6.410,-2.500
222,9,14,9.980,-2.500
223,9,15,13.550,-2.500
224,9,16,17.120,-2.500
225,9,17,20.690,-2.500
226,9,18,24.260,-2.500
227,9,19,27.830,-2.500
228,9,20,31.400,-2.500
229,9,21,34.970,-2.500
230,9,22,38.540,-2.500
231,10,0,-40.000,0.000
232,10,1,-36.430,0.000
233,10,2,-32.860,0.000
234,10,3,-29.290,0.000
235,10,4,-25.720,0.000
236,10,5,-22.150,0.000
237,10,6,-18.580,0.000
238,10,7,-15.010,0.000
239,10,8,-11.440,0.000
240,10,9,-7.870,0.000
241,10,10,-4.300,0.000
242,10,11,-0.730,0.000
243,10,12,2.840,0.000
244,10,13,6.410,0.000
245,10,14,9.980,0.000
246,10,15,13.550,0.000
247,10,16,17.120,0.000
248,10,17,20.690,0.000
249,10,18,24.260,0.000
250,10,19,27.830,0.000
251,10,20,31.400,0.000
252,10,21,34.970,0.000
253,10,22,38.540,0.000
254,11,0,-40.000,2.500
255,11,1,-36.430,2.500
256,11,2,-32.860,2.500
257,11,3,-29.290,2.500
258,11,4,-25.720,2.500
259,11,5,-22.150,2.500
260,11,6,-18.580,2.500
261,11,7,-15.010,2.500
262,11,8,-11.440,2.500
263,11,9,-7.870,2.500
264,11,10,-4.300,2.500
265,11,11,-0.730,2.500
266,11,12,2.840,2.500
267,11,13,6.410,2.500
268,11,14,9.980,2.500
269,11,15,13.550,2.500
270,11,16,17.120,2.500
271,11,17,20.690,2.500
272,11,18,24.260,2.500
273,11,19,27.830,2.500
274,11,20,31.400,2.500
275,11,21,34.970,2.500
276,11,22,38.540,2.500
277,12,0,-40.000,5.000
278,12,1,-36.430,5.000
279,12,2,-32.860,5.000
280,12,3,-29.290,5.000
281,12,4,-25.720,5.000
282,12,5,-22.150,5.000
283,12,6,-18.580,5.000
284,12,7,-15.010,5.000
285,12,8,-11.440,5.000
286,12,9,-7.870,5.000
287,12,10,-4.300,5.000
288,12,11,-0.730,5.000
289,12,12,2.840,5.000
290,12,13,6.410,5.000
291,12,14,9.980,5.000
292,12,15,13.550,5.000
293,12,16,17.120,5.000
294,12,17,20.690,5.000
295,12,18,24.260,5.000
296,12,19,27.830,5.000
297,12,20,31.400,5.000
298,12,21,34.970,5.000
299,12,22,38.540,5.000
300,13,0,-40.000,7.500
301,13,1,-36.430,7.500
302,13,2,-32.860,7.500
303,13,3,-29.290,7.500
304,13,4,-25.720,7.500
305,13,5,-22.150,7.500
306,13,6,-18.580,7.500
307,13,7,-15.010,7.500
308,13,8,-11.440,7.500
309,13,9,-7.870,7.500
310,13,10,-4.300,7.500
311,13,11,-0.730,7.500
312,13,12,2.840,7.500
313,13,13,6.410,7.500
314,13,14,9.980,7.500
315,13,15,13.550,7.500
316,13,16,17.120,7.500
317,13,17,20.690,7.500
318,13,18,24.260,7.500
319,13,19,27.830,7.500
320,13,20,31.400,7.500
321,13,21,34.970,7.500
322,13,22,38.540,7.500
323,14,0,-40.000,10.000
324,14,1,-36.430,10.000
325,14,2,-32.860,10.000
326,14,3,-29.290,10.000
327,14,4,-25.720,10.000
328,14,5,-22.150,10.000
329,14,6,-18.580,10.000
330,14,7,-15.010,10.000
331,14,8,-11.440,10.000
332,14,9,-7.870,10.000
333,14,10,-4.300,10.000
334,14,11,-0.730,10.000
335,14,12,2.840,10.000
336,14,13,6.410,10.000
337,14,14,9.980,10.000
338,14,15,13.550,10.000
339,14,16,17.120,10.000
340,14,17,20.690,10.000
341,14,18,24.260,10.000
342,14,19,27.830,10.000
343,14,20,31.400,10.000
344,14,21,34.970,10.000
345,14,22,38.540,10.000
346,15,0,-40.000,12.500
347,15,1,-36.430,12.500
348,15,2,-32.860,12.500
349,15,3,-29.290,12.500
350,15,4,-25.720,12.500
351,15,5,-22.150,12.500
352,15,6,-18.580,12.500
353,15,7,-15.010,12.500
354,15,8,-11.440,12.500
355,15,9,-7.870,12.500
356,15,10,-4.300,12.500
357,15,11,-0.730,12.500
358,15,12,2.840,12.500
359,15,13,6.410,12.500
360,15,14,9.980,12.500
361,15,15,13.550,12.500
362,15,16,17.120,12.500
363,15,17,20.690,12.500
364,15,18,24.260,12.500
365,15,19,27.830,12.500
366,15,20,31.400,12.500
367,15,21,34.970,12.500
368,15,22,38.540,12.500
369,16,0,-40.000,15.000
370,16,1,-36.430,15.000
371,16,2,-32.860,15.000
372,16,3,-29.290,15.000
373,16,4,-25.720,15.000
374,16,5,-22.150,15.000
375,16,6,-18.580,15.000
376,16,7,-15.010,15.000
377,16,8,-11.440,15.000
378,16,9,-7.870,15.000
379,16,10,-4.300,15.000
380,16,11,-0.730,15.000
381,16,12,2.840,15.000
382,16,13,6.410,15.000
383,16,14,9.980,15.000
384,16,15,13.550,15.000
385,16,16,17.120,15.000
386,16,17,20.690,15.000
387,16,18,24.260,15.000
388,16,19,27.830,15.000
389,16,20,31.400,15.000
390,16,21,34.970,15.000
391,16,22,38.540,15.000
392,17,0,-40.000,17.500
393,17,1,-36.430,17.500
394,17,2,-32.860,17.500
395,17,3,-29.290,17.500
396,17,4,-25.720,17.500
397,17,5,-22.150,17.500
398,17,6,-18.580,17.500
399,17,7,-15.010,17.500
400,17,8,-11.440,17.500
401,17,9,-7.870,17.500
402,17,10,-4.300,17.500
403,17,11,-0.730,17.500
404,17,12,2.840,17.500
405,17,13,6.410,17.500
406,17,14,9.980,17.500
407,17,15,13.550,17.500
408,17,16,17.120,17.500
409,17,17,20.690,17.500
410,17,18,24.260,17.500
411,17,19,27.830,17.500
412,17,20,31.400,17.500
413,17,21,34.970,17.500
414,17,22,38.540,17.500
415,18,0,-40.000,20.000
416,18,1,-36.430,20.000
417,18,2,-32.860,20.000
418,18,3,-29.290,20.000
419,18,4,-25.720,20.000
420,18,5,-22.150,20.000
421,18,6,-18.580,20.000
422,18,7,-15.010,20.000
423,18,8,-11.440,20.000
424,18,9,-7.870,20.000
425,18,10,-4.300,20.000
426,18,11,-0.730,20.000
427,18,12,2.840,20.000
428,18,13,6.410,20.000
429,18,14,9.980,20.000
430,18,15,13.550,20.000
431,18,16,17.120,20.000
432,18,17,20.690,20.000
433,18,18,24.260,20.000
434,18,19,27.830,20.000
435,18,20,31.400,20.000
436,18,21,34.970,20.000
437,18,22,38.540,20.000
438,19,0,-40.000,22.500
439,19,1,-36.430,22.500
440,19,2,-32.860,22.500
441,19,3,-29.290,22.500
442,19,4,-25.720,22.500
443,19,5,-22.150,22.500
444,19,6,-18.580,22.500
445,19,7,-15.010,22.500
446,19,8,-11.440,22.500
447,19,9,-7.870,22.500
448,19,10,-4.300,22.500
449,19,11,-0.730,22.500
450,19,12,2.840,22.500
451,19,13,6.410,22.500
452,19,14,9.980,22.500
453,19,15,13.550,22.500
454,19,16,17.120,22.500
455,19,17,20.690,22.500
456,19,18,24.260,22.500
457,19,19,27.830,22.500
458,19,20,31.400,22.500
459,19,21,34.970,22.500
460,19,22,38.540,22.500
461,20,0,-40.000,25.000
462,20,1,-36.430,25.000
463,20,2,-32.860,25.000
464,20,3,-29.290,25.000
465,20,4,-25.720,25.000
466,20,5,-22.150,25.000
467,20,6,-18.580,25.000
468,20,7,-15.010,25.000
469,20,8,-11.440,25.000
470,20,9,-7.870,25.000
471,20,10,-4.300,25.000
472,20,11,-0.730,25.000
473,20,12,2.840,25.000
474,20,13,6.410,25.000
475,20,14,9.980,25.000
476,20,15,13.550,25.000
477,20,16,17.120,25.000
478,20,17,20.690,25.000
479,20,18,24.260,25.000
480,20,19,27.830,25.000
481,20,20,31.400,25.000
482,20,21,34.970,25.000
483,20,22,38.540,25.000
