scenario,layout,aptamer_count,active_aptamers,mean_diameter_nm,mean_receptors,active_aptamer_fraction,linker_reach_multiplier,diffusion_nm2_per_s,k_on_per_step,k_off_per_s,nonspecific_per_encounter,damage_per_encounter,activity_loss_per_encounter,single_encounter_capture,best_encounters,target_capture,false_capture_risk,damage_risk,useful_capture_score
1,clinical_grid_12,12,12,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.04167,10,0.30278,0.11782,0.09768,0.27520
1,clinical_grid_18,18,15,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.12500,10,0.67504,0.17191,0.09768,0.59592
1,clinical_dense_24,24,23,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.12500,10,0.67504,0.22300,0.09768,0.57927
1,clinical_hybrid_24,24,21,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.20833,10,0.85795,0.22300,0.09768,0.73623
1,clinical_rescue_24,24,22,78.61886,4.37915,0.87338,0.87755,51.62184,0.23605,0.23792,0.01869,0.01023,0.03672,0.12500,10,0.67504,0.22300,0.09768,0.57927
2,clinical_grid_12,12,9,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.04167,10,0.32719,0.32288,0.12195,0.26266
2,clinical_grid_18,18,16,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.12500,10,0.71047,0.44607,0.12195,0.52845
2,clinical_dense_24,24,18,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.04167,10,0.32719,0.54871,0.12195,0.22729
2,clinical_hybrid_24,24,19,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.08333,10,0.55469,0.54871,0.12195,0.38533
2,clinical_rescue_24,24,18,75.52746,5.44829,0.79728,0.77144,24.04950,0.17130,0.22746,0.05736,0.01292,0.01564,0.04167,10,0.32719,0.54871,0.12195,0.22729
3,clinical_grid_12,12,6,78.10271,5.16452,0.63254,1.12216,42.16924,0.09637,0.11807,0.04141,0.01809,0.02004,0.12500,10,0.70303,0.24418,0.16683,0.58116
3,clinical_grid_18,18,11,78.10271,5.16452,0.63254,1.12216,42.16924,0.09637,0.11807,0.04141,0.01809,0.02004,0.20833,10,0.87930,0.34487,0.16683,0.68519
3,clinical_dense_24,24,15,78.10271,5.16452,0.63254,1.12216,42.16924,0.09637,0.11807,0.04141,0.01809,0.02004,0.16667,10,0.80874,0.43332,0.16683,0.59653
3,clinical_hybrid_24,24,12,78.10271,5.16452,0.63254,1.12216,42.16924,0.09637,0.11807,0.04141,0.01809,0.02004,0.33333,7,0.92855,0.32805,0.11993,0.74366
3,clinical_rescue_24,24,13,78.10271,5.16452,0.63254,1.12216,42.16924,0.09637,0.11807,0.04141,0.01809,0.02004,0.16667,10,0.80874,0.43332,0.16683,0.59653
4,clinical_grid_12,12,12,70.07984,4.68401,0.83931,0.77274,29.67437,0.09550,0.22519,0.04364,0.00472,0.03015,0.12500,10,0.68602,0.25564,0.04623,0.58865
4,clinical_grid_18,18,17,70.07984,4.68401,0.83931,0.77274,29.67437,0.09550,0.22519,0.04364,0.00472,0.03015,0.16667,10,0.79335,0.35994,0.04623,0.64005
4,clinical_dense_24,24,21,70.07984,4.68401,0.83931,0.77274,29.67437,0.09550,0.22519,0.04364,0.00472,0.03015,0.04167,10,0.31017,0.45089,0.04623,0.23635
4,clinical_hybrid_24,24,21,70.07984,4.68401,0.83931,0.77274,29.67437,0.09550,0.22519,0.04364,0.00472,0.03015,0.08333,10,0.53095,0.45089,0.04623,0.40460
4,clinical_rescue_24,24,17,70.07984,4.68401,0.83931,0.77274,29.67437,0.09550,0.22519,0.04364,0.00472,0.03015,0.12500,10,0.68602,0.45089,0.04623,0.52276
5,clinical_grid_12,12,9,69.25538,4.81201,0.57871,0.90101,32.35703,0.09162,0.24238,0.02640,0.00768,0.03786,0.08333,10,0.51867,0.16267,0.07424,0.46410
5,clinical_grid_18,18,12,69.25538,4.81201,0.57871,0.90101,32.35703,0.09162,0.24238,0.02640,0.00768,0.03786,0.08333,10,0.51867,0.23471,0.07424,0.44590
5,clinical_dense_24,24,16,69.25538,4.81201,0.57871,0.90101,32.35703,0.09162,0.24238,0.02640,0.00768,0.03786,0.16667,10,0.78150,0.30112,0.07424,0.64659
5,clinical_hybrid_24,24,12,69.25538,4.81201,0.57871,0.90101,32.35703,0.09162,0.24238,0.02640,0.00768,0.03786,0.08333,10,0.51867,0.30112,0.07424,0.42913
5,clinical_rescue_24,24,17,69.25538,4.81201,0.57871,0.90101,32.35703,0.09162,0.24238,0.02640,0.00768,0.03786,0.20833,10,0.85644,0.30112,0.07424,0.70859
6,clinical_grid_12,12,8,81.28472,8.92779,0.63016,1.05959,51.41945,0.18480,0.14300,0.02057,0.00396,0.01377,0.20833,10,0.88703,0.12897,0.03890,0.81853
6,clinical_grid_18,18,11,81.28472,8.92779,0.63016,1.05959,51.41945,0.18480,0.14300,0.02057,0.00396,0.01377,0.08333,10,0.55781,0.18766,0.03890,0.49858
6,clinical_dense_24,24,12,81.28472,8.92779,0.63016,1.05959,51.41945,0.18480,0.14300,0.02057,0.00396,0.01377,0.20833,10,0.88703,0.24277,0.03890,0.76875
6,clinical_hybrid_24,24,15,81.28472,8.92779,0.63016,1.05959,51.41945,0.18480,0.14300,0.02057,0.00396,0.01377,0.25000,10,0.93146,0.24277,0.03890,0.80725
6,clinical_rescue_24,24,15,81.28472,8.92779,0.63016,1.05959,51.41945,0.18480,0.14300,0.02057,0.00396,0.01377,0.25000,10,0.93146,0.24277,0.03890,0.80725
7,clinical_grid_12,12,6,69.49819,9.05048,0.63414,0.80807,42.39430,0.10626,0.10876,0.02279,0.00649,0.03740,0.08333,10,0.51940,0.14197,0.06303,0.47188
7,clinical_grid_18,18,10,69.49819,9.05048,0.63414,0.80807,42.39430,0.10626,0.10876,0.02279,0.00649,0.03740,0.12500,10,0.67390,0.20591,0.06303,0.59118
7,clinical_dense_24,24,14,69.49819,9.05048,0.63414,0.80807,42.39430,0.10626,0.10876,0.02279,0.00649,0.03740,0.08333,10,0.51940,0.26553,0.06303,0.44050
7,clinical_hybrid_24,24,14,69.49819,9.05048,0.63414,0.80807,42.39430,0.10626,0.10876,0.02279,0.00649,0.03740,0.08333,10,0.51940,0.26553,0.06303,0.44050
7,clinical_rescue_24,24,13,69.49819,9.05048,0.63414,0.80807,42.39430,0.10626,0.10876,0.02279,0.00649,0.03740,0.08333,10,0.51940,0.26553,0.06303,0.44050
8,clinical_grid_12,12,9,77.51989,5.68660,0.49021,0.98199,46.52288,0.17191,0.24424,0.05337,0.00997,0.02787,0.08333,10,0.53464,0.30391,0.09531,0.43827
8,clinical_grid_18,18,12,77.51989,5.68660,0.49021,0.98199,46.52288,0.17191,0.24424,0.05337,0.00997,0.02787,0.16667,10,0.79685,0.42216,0.09531,0.60768
8,clinical_dense_24,24,11,77.51989,5.68660,0.49021,0.98199,46.52288,0.17191,0.24424,0.05337,0.00997,0.02787,0.12500,10,0.68985,0.52201,0.09531,0.49279
8,clinical_hybrid_24,24,8,77.51989,5.68660,0.49021,0.98199,46.52288,0.17191,0.24424,0.05337,0.00997,0.02787,0.08333,10,0.53464,0.52201,0.09531,0.38191
8,clinical_rescue_24,24,14,77.51989,5.68660,0.49021,0.98199,46.52288,0.17191,0.24424,0.05337,0.00997,0.02787,0.12500,10,0.68985,0.52201,0.09531,0.49279
9,clinical_grid_12,12,9,74.77079,4.58353,0.80605,0.80736,49.69938,0.20618,0.23892,0.06280,0.00841,0.03029,0.04167,10,0.31001,0.34799,0.08095,0.24881
9,clinical_grid_18,18,17,74.77079,4.58353,0.80605,0.80736,49.69938,0.20618,0.23892,0.06280,0.00841,0.03029,0.16667,10,0.79315,0.47722,0.08095,0.58678
9,clinical_dense_24,24,20,74.77079,4.58353,0.80605,0.80736,49.69938,0.20618,0.23892,0.06280,0.00841,0.03029,0.08333,10,0.53073,0.58293,0.08095,0.36539
9,clinical_hybrid_24,24,18,74.77079,4.58353,0.80605,0.80736,49.69938,0.20618,0.23892,0.06280,0.00841,0.03029,0.16667,10,0.79315,0.58293,0.08095,0.54605
9,clinical_rescue_24,24,21,74.77079,4.58353,0.80605,0.80736,49.69938,0.20618,0.23892,0.06280,0.00841,0.03029,0.16667,10,0.79315,0.58293,0.08095,0.54605
10,clinical_grid_12,12,6,81.84416,4.68248,0.45488,0.92151,28.38890,0.10946,0.22955,0.03676,0.01389,0.03791,0.25000,10,0.90738,0.21971,0.13056,0.77079
10,clinical_grid_18,18,9,81.84416,4.68248,0.45488,0.92151,28.38890,0.10946,0.22955,0.03676,0.01389,0.03791,0.16667,10,0.78143,0.31235,0.13056,0.62926
10,clinical_dense_24,24,9,81.84416,4.68248,0.45488,0.92151,28.38890,0.10946,0.22955,0.03676,0.01389,0.03791,0.16667,10,0.78143,0.39498,0.13056,0.59845
10,clinical_hybrid_24,24,9,81.84416,4.68248,0.45488,0.92151,28.38890,0.10946,0.22955,0.03676,0.01389,0.03791,0.08333,10,0.51859,0.39498,0.13056,0.39716
10,clinical_rescue_24,24,9,81.84416,4.68248,0.45488,0.92151,28.38890,0.10946,0.22955,0.03676,0.01389,0.03791,0.08333,10,0.51859,0.39498,0.13056,0.39716
11,clinical_grid_12,12,10,81.82481,6.37442,0.79506,1.13350,33.40139,0.19410,0.09307,0.03006,0.01160,0.02349,0.20833,10,0.87498,0.18329,0.11013,0.76416
11,clinical_grid_18,18,13,81.82481,6.37442,0.79506,1.13350,33.40139,0.19410,0.09307,0.03006,0.01160,0.02349,0.12500,10,0.69722,0.26307,0.11013,0.58217
11,clinical_dense_24,24,19,81.82481,6.37442,0.79506,1.13350,33.40139,0.19410,0.09307,0.03006,0.01160,0.02349,0.16667,10,0.80352,0.33576,0.11013,0.64285
11,clinical_hybrid_24,24,20,81.82481,6.37442,0.79506,1.13350,33.40139,0.19410,0.09307,0.03006,0.01160,0.02349,0.41667,6,0.95006,0.21766,0.06761,0.82663
11,clinical_rescue_24,24,20,81.82481,6.37442,0.79506,1.13350,33.40139,0.19410,0.09307,0.03006,0.01160,0.02349,0.37500,7,0.95087,0.24902,0.07843,0.80962
12,clinical_grid_12,12,6,75.90715,9.42227,0.45470,0.97434,35.13482,0.11480,0.28296,0.05037,0.00948,0.02910,0.12500,10,0.68778,0.28936,0.09088,0.56956
12,clinical_grid_18,18,5,75.90715,9.42227,0.45470,0.97434,35.13482,0.11480,0.28296,0.05037,0.00948,0.02910,0.04167,10,0.31137,0.40361,0.09088,0.24063
12,clinical_dense_24,24,10,75.90715,9.42227,0.45470,0.97434,35.13482,0.11480,0.28296,0.05037,0.00948,0.02910,0.08333,10,0.53264,0.50105,0.09088,0.38651
12,clinical_hybrid_24,24,8,75.90715,9.42227,0.45470,0.97434,35.13482,0.11480,0.28296,0.05037,0.00948,0.02910,0.16667,10,0.79496,0.50105,0.09088,0.57685
12,clinical_rescue_24,24,13,75.90715,9.42227,0.45470,0.97434,35.13482,0.11480,0.28296,0.05037,0.00948,0.02910,0.25000,9,0.89674,0.46513,0.08218,0.66840
13,clinical_grid_12,12,7,66.89644,5.49205,0.59295,0.81694,48.32785,0.14236,0.20483,0.03359,0.01582,0.00720,0.04167,10,0.33753,0.20268,0.14742,0.28768
13,clinical_grid_18,18,8,66.89644,5.49205,0.59295,0.81694,48.32785,0.14236,0.20483,0.03359,0.01582,0.00720,0.16667,10,0.82794,0.28945,0.14742,0.67158
13,clinical_dense_24,24,15,66.89644,5.49205,0.59295,0.81694,48.32785,0.14236,0.20483,0.03359,0.01582,0.00720,0.04167,10,0.33753,0.36762,0.14742,0.26128
13,clinical_hybrid_24,24,15,66.89644,5.49205,0.59295,0.81694,48.32785,0.14236,0.20483,0.03359,0.01582,0.00720,0.08333,10,0.56884,0.36762,0.14742,0.44032
13,clinical_rescue_24,24,7,66.89644,5.49205,0.59295,0.81694,48.32785,0.14236,0.20483,0.03359,0.01582,0.00720,0.08333,10,0.56884,0.36762,0.14742,0.44032
14,clinical_grid_12,12,9,76.83770,5.94878,0.72348,0.97328,50.83312,0.11083,0.10144,0.01492,0.01879,0.03013,0.00000,1,0.00000,0.00995,0.01879,0.00000
14,clinical_grid_18,18,15,76.83770,5.94878,0.72348,0.97328,50.83312,0.11083,0.10144,0.01492,0.01879,0.03013,0.12500,10,0.68606,0.13957,0.17276,0.59959
14,clinical_dense_24,24,14,76.83770,5.94878,0.72348,0.97328,50.83312,0.11083,0.10144,0.01492,0.01879,0.03013,0.12500,10,0.68606,0.18204,0.17276,0.58591
14,clinical_hybrid_24,24,20,76.83770,5.94878,0.72348,0.97328,50.83312,0.11083,0.10144,0.01492,0.01879,0.03013,0.25000,10,0.91548,0.18204,0.17276,0.78184
14,clinical_rescue_24,24,15,76.83770,5.94878,0.72348,0.97328,50.83312,0.11083,0.10144,0.01492,0.01879,0.03013,0.16667,10,0.79339,0.18204,0.17276,0.67757
15,clinical_grid_12,12,5,70.22744,8.32583,0.45986,0.95186,33.92256,0.08749,0.07566,0.06828,0.01277,0.01816,0.04167,10,0.32417,0.37243,0.12062,0.25267
15,clinical_grid_18,18,5,70.22744,8.32583,0.45986,0.95186,33.92256,0.08749,0.07566,0.06828,0.01277,0.01816,0.12500,10,0.70622,0.50700,0.12062,0.50493
15,clinical_dense_24,24,13,70.22744,8.32583,0.45986,0.95186,33.92256,0.08749,0.07566,0.06828,0.01277,0.01816,0.16667,10,0.81159,0.61502,0.12062,0.53829
15,clinical_hybrid_24,24,11,70.22744,8.32583,0.45986,0.95186,33.92256,0.08749,0.07566,0.06828,0.01277,0.01816,0.25000,8,0.88238,0.53404,0.09772,0.62465
15,clinical_rescue_24,24,10,70.22744,8.32583,0.45986,0.95186,33.92256,0.08749,0.07566,0.06828,0.01277,0.01816,0.08333,10,0.55052,0.61502,0.12062,0.36514
16,clinical_grid_12,12,5,77.43185,8.63167,0.48179,0.79576,26.42451,0.19118,0.20872,0.06102,0.00714,0.02130,0.08333,10,0.54534,0.33986,0.06916,0.44171
16,clinical_grid_18,18,10,77.43185,8.63167,0.48179,0.79576,26.42451,0.19118,0.20872,0.06102,0.00714,0.02130,0.29167,8,0.92019,0.39570,0.05572,0.72373
16,clinical_dense_24,24,20,77.43185,8.63167,0.48179,0.79576,26.42451,0.19118,0.20872,0.06102,0.00714,0.02130,0.33333,6,0.89775,0.39900,0.04209,0.70806
16,clinical_hybrid_24,24,8,77.43185,8.63167,0.48179,0.79576,26.42451,0.19118,0.20872,0.06102,0.00714,0.02130,0.16667,10,0.80684,0.57199,0.06916,0.56214
16,clinical_rescue_24,24,7,77.43185,8.63167,0.48179,0.79576,26.42451,0.19118,0.20872,0.06102,0.00714,0.02130,0.12500,10,0.70091,0.57199,0.06916,0.48834
17,clinical_grid_12,12,10,74.33946,6.69460,0.89794,0.90850,46.79612,0.14018,0.19181,0.03075,0.01982,0.02319,0.04167,10,0.31822,0.18711,0.18140,0.27014
17,clinical_grid_18,18,17,74.33946,6.69460,0.89794,0.90850,46.79612,0.14018,0.19181,0.03075,0.01982,0.02319,0.12500,10,0.69774,0.26829,0.18140,0.56578
17,clinical_dense_24,24,22,74.33946,6.69460,0.89794,0.90850,46.79612,0.14018,0.19181,0.03075,0.01982,0.02319,0.16667,10,0.80398,0.34210,0.18140,0.62415
17,clinical_hybrid_24,24,23,74.33946,6.69460,0.89794,0.90850,46.79612,0.14018,0.19181,0.03075,0.01982,0.02319,0.25000,9,0.90277,0.31397,0.16485,0.71714
17,clinical_rescue_24,24,22,74.33946,6.69460,0.89794,0.90850,46.79612,0.14018,0.19181,0.03075,0.01982,0.02319,0.20833,10,0.87537,0.34210,0.18140,0.67956
18,clinical_grid_12,12,12,79.56114,5.21158,0.82809,0.82928,21.49411,0.10184,0.25836,0.05287,0.00951,0.03157,0.12500,10,0.68365,0.30152,0.09115,0.56206
18,clinical_grid_18,18,16,79.56114,5.21158,0.82809,0.82928,21.49411,0.10184,0.25836,0.05287,0.00951,0.03157,0.12500,10,0.68365,0.41913,0.09115,0.52314
18,clinical_dense_24,24,20,79.56114,5.21158,0.82809,0.82928,21.49411,0.10184,0.25836,0.05287,0.00951,0.03157,0.08333,10,0.52868,0.51860,0.09115,0.37910
18,clinical_hybrid_24,24,19,79.56114,5.21158,0.82809,0.82928,21.49411,0.10184,0.25836,0.05287,0.00951,0.03157,0.20833,10,0.86466,0.51860,0.09115,0.62002
18,clinical_rescue_24,24,18,79.56114,5.21158,0.82809,0.82928,21.49411,0.10184,0.25836,0.05287,0.00951,0.03157,0.08333,10,0.52868,0.51860,0.09115,0.37910
19,clinical_grid_12,12,10,81.69592,7.91945,0.62171,0.97044,21.78082,0.11320,0.21547,0.01178,0.00564,0.02432,0.20833,10,0.87394,0.07579,0.05503,0.82462
19,clinical_grid_18,18,11,81.69592,7.91945,0.62171,0.97044,21.78082,0.11320,0.21547,0.01178,0.00564,0.02432,0.20833,10,0.87394,0.11171,0.05503,0.80923
19,clinical_dense_24,24,19,81.69592,7.91945,0.62171,0.97044,21.78082,0.11320,0.21547,0.01178,0.00564,0.02432,0.25000,10,0.92133,0.14637,0.05503,0.83746
19,clinical_hybrid_24,24,14,81.69592,7.91945,0.62171,0.97044,21.78082,0.11320,0.21547,0.01178,0.00564,0.02432,0.29167,10,0.95205,0.14637,0.05503,0.86538
19,clinical_rescue_24,24,11,81.69592,7.91945,0.62171,0.97044,21.78082,0.11320,0.21547,0.01178,0.00564,0.02432,0.20833,10,0.87394,0.14637,0.05503,0.79438
20,clinical_grid_12,12,5,71.78543,7.13485,0.45650,0.96544,51.43524,0.10771,0.25691,0.02092,0.00515,0.01501,0.04167,10,0.32796,0.13102,0.05031,0.30108
20,clinical_grid_18,18,7,71.78543,7.13485,0.45650,0.96544,51.43524,0.10771,0.25691,0.02092,0.00515,0.01501,0.08333,10,0.55574,0.19055,0.05031,0.49394
20,clinical_dense_24,24,13,71.78543,7.13485,0.45650,0.96544,51.43524,0.10771,0.25691,0.02092,0.00515,0.01501,0.20833,10,0.88552,0.24638,0.05031,0.76276
20,clinical_hybrid_24,24,9,71.78543,7.13485,0.45650,0.96544,51.43524,0.10771,0.25691,0.02092,0.00515,0.01501,0.12500,10,0.71154,0.24638,0.05031,0.61289
20,clinical_rescue_24,24,9,71.78543,7.13485,0.45650,0.96544,51.43524,0.10771,0.25691,0.02092,0.00515,0.01501,0.20833,10,0.88552,0.24638,0.05031,0.76276
21,clinical_grid_12,12,7,65.88033,9.15460,0.59078,1.05863,43.36338,0.21606,0.07742,0.05273,0.01488,0.03214,0.16667,10,0.79031,0.30081,0.13924,0.63872
21,clinical_grid_18,18,14,65.88033,9.15460,0.59078,1.05863,43.36338,0.21606,0.07742,0.05273,0.01488,0.03214,0.25000,9,0.89359,0.38584,0.12624,0.68934
21,clinical_dense_24,24,13,65.88033,9.15460,0.59078,1.05863,43.36338,0.21606,0.07742,0.05273,0.01488,0.03214,0.20833,10,0.86392,0.51759,0.13924,0.60913
21,clinical_hybrid_24,24,10,65.88033,9.15460,0.59078,1.05863,43.36338,0.21606,0.07742,0.05273,0.01488,0.03214,0.25000,8,0.86823,0.44187,0.11304,0.64965
21,clinical_rescue_24,24,17,65.88033,9.15460,0.59078,1.05863,43.36338,0.21606,0.07742,0.05273,0.01488,0.03214,0.33333,7,0.92020,0.39967,0.09964,0.71063
22,clinical_grid_12,12,3,77.87912,8.71006,0.50117,0.80078,41.71787,0.15991,0.10013,0.02694,0.01462,0.02317,0.08333,10,0.54227,0.16573,0.13696,0.47350
22,clinical_grid_18,18,12,77.87912,8.71006,0.50117,0.80078,41.71787,0.15991,0.10013,0.02694,0.01462,0.02317,0.08333,10,0.54227,0.23894,0.13696,0.45460
22,clinical_dense_24,24,13,77.87912,8.71006,0.50117,0.80078,41.71787,0.15991,0.10013,0.02694,0.01462,0.02317,0.12500,10,0.69776,0.30632,0.13696,0.56256
22,clinical_hybrid_24,24,7,77.87912,8.71006,0.50117,0.80078,41.71787,0.15991,0.10013,0.02694,0.01462,0.02317,0.16667,10,0.80400,0.30632,0.13696,0.64822
22,clinical_rescue_24,24,10,77.87912,8.71006,0.50117,0.80078,41.71787,0.15991,0.10013,0.02694,0.01462,0.02317,0.16667,10,0.80400,0.30632,0.13696,0.64822
23,clinical_grid_12,12,9,74.35017,8.52131,0.79372,0.83108,34.82993,0.10094,0.13644,0.03947,0.00911,0.03799,0.12500,10,0.67291,0.23408,0.08745,0.57596
23,clinical_grid_18,18,13,74.35017,8.52131,0.79372,0.83108,34.82993,0.10094,0.13644,0.03947,0.00911,0.03799,0.16667,10,0.78130,0.33150,0.08745,0.63185
23,clinical_dense_24,24,20,74.35017,8.52131,0.79372,0.83108,34.82993,0.10094,0.13644,0.03947,0.00911,0.03799,0.12500,10,0.67291,0.41763,0.08745,0.51610
23,clinical_hybrid_24,24,21,74.35017,8.52131,0.79372,0.83108,34.82993,0.10094,0.13644,0.03947,0.00911,0.03799,0.20833,10,0.85627,0.41763,0.08745,0.65673
23,clinical_rescue_24,24,17,74.35017,8.52131,0.79372,0.83108,34.82993,0.10094,0.13644,0.03947,0.00911,0.03799,0.12500,10,0.67291,0.41763,0.08745,0.51610
24,clinical_grid_12,12,6,79.24092,3.41387,0.62419,0.87994,36.05217,0.14054,0.12073,0.03860,0.00614,0.00545,0.04167,10,0.33972,0.22948,0.05971,0.29445
24,clinical_grid_18,18,11,79.24092,3.41387,0.62419,0.87994,36.05217,0.14054,0.12073,0.03860,0.00614,0.00545,0.20833,10,0.89697,0.32539,0.05971,0.73534
24,clinical_dense_24,24,17,79.24092,3.41387,0.62419,0.87994,36.05217,0.14054,0.12073,0.03860,0.00614,0.00545,0.08333,10,0.57180,0.41042,0.05971,0.44496
24,clinical_hybrid_24,24,12,79.24092,3.41387,0.62419,0.87994,36.05217,0.14054,0.12073,0.03860,0.00614,0.00545,0.16667,10,0.83052,0.41042,0.05971,0.64629
24,clinical_rescue_24,24,17,79.24092,3.41387,0.62419,0.87994,36.05217,0.14054,0.12073,0.03860,0.00614,0.00545,0.16667,10,0.83052,0.41042,0.05971,0.64629
25,clinical_grid_12,12,9,66.38856,7.65120,0.71568,0.91944,37.72303,0.13576,0.16891,0.04294,0.00530,0.02335,0.08333,10,0.54199,0.25204,0.05174,0.46511
25,clinical_grid_18,18,11,66.38856,7.65120,0.71568,0.91944,37.72303,0.13576,0.16891,0.04294,0.00530,0.02335,0.12500,10,0.69746,0.35522,0.05174,0.56320
25,clinical_dense_24,24,16,66.38856,7.65120,0.71568,0.91944,37.72303,0.13576,0.16891,0.04294,0.00530,0.02335,0.20833,10,0.87516,0.44540,0.05174,0.66794
25,clinical_hybrid_24,24,16,66.38856,7.65120,0.71568,0.91944,37.72303,0.13576,0.16891,0.04294,0.00530,0.02335,0.33333,7,0.92631,0.33811,0.03651,0.75988
25,clinical_rescue_24,24,18,66.38856,7.65120,0.71568,0.91944,37.72303,0.13576,0.16891,0.04294,0.00530,0.02335,0.08333,10,0.54199,0.44540,0.05174,0.41366
26,clinical_grid_12,12,8,78.11894,8.93903,0.83207,0.87639,39.27071,0.10116,0.19683,0.02599,0.01966,0.01277,0.16667,10,0.81966,0.16036,0.18009,0.70642
26,clinical_grid_18,18,15,78.11894,8.93903,0.83207,0.87639,39.27071,0.10116,0.19683,0.02599,0.01966,0.01277,0.29167,9,0.94619,0.21101,0.16364,0.79789
26,clinical_dense_24,24,21,78.11894,8.93903,0.83207,0.87639,39.27071,0.10116,0.19683,0.02599,0.01966,0.01277,0.25000,10,0.93239,0.29719,0.18009,0.74380
26,clinical_hybrid_24,24,19,78.11894,8.93903,0.83207,0.87639,39.27071,0.10116,0.19683,0.02599,0.01966,0.01277,0.12500,10,0.71531,0.29719,0.18009,0.57063
26,clinical_rescue_24,24,19,78.11894,8.93903,0.83207,0.87639,39.27071,0.10116,0.19683,0.02599,0.01966,0.01277,0.25000,10,0.93239,0.29719,0.18009,0.74380
27,clinical_grid_12,12,12,66.18091,8.49795,0.89864,1.13755,22.65865,0.22973,0.07088,0.05876,0.01597,0.00607,0.37500,7,0.95984,0.24401,0.10660,0.81129
